question,label,category,table_id,answer_format,answer_temporal_unit,split,table_context,response
Approximately how many months after being apprehended did Jeffrey Epstein die by suicide?,1,person,340,<num_months>,months,head,"category
person

Jeffrey Epstein
Born	Jeffrey Edward Epstein | ( | 1953-01-20 | ) | January 20, 1953 | New York City, New York, U.S.
Died	August 10, 2019 | (2019-08-10) | (aged 66) | New York City, New York, U.S.
Cause of death	Suicide by hanging
Resting place	I.J. Morris Star of David Cemetery, Palm Beach, Florida
Occupation	Financier | broker | educator | socialite
Title	Owner of Jeffrey Epstein VI Foundation
Criminal charge	Procuring an underage girl for prostitution; sex trafficking
Penalty	13 months with work release (2008)
[""Epstein Final Mugshot.png | Epstein's final mugshot, July 9, 2019""]

Details
Victims	36
Date apprehended	July 6, 2019 (second criminal case)
Website	www | .jeffreyepstein | .org

","To find out how many months passed between Jeffrey Epstein's apprehension and his death, we need to follow these steps:

1. Identify the date of apprehension:
   The table mentions that Jeffrey Epstein was apprehended on July 6, 2019 (for the second criminal case).

2. Identify the date of death:
   The table states that Jeffrey Epstein died on August 10, 2019.

3. Calculate the number of days between the two dates:
   - From July 6 to July 31: 25 days
   - Adding August 1 to August 10: 10 days
   Total: 25 + 10 = 35 days

4. Convert days into months:
   To convert days into months, we can use an approximation of 30 days per month:
   35 days / 30 days/month ≈ 1.17 months

Therefore, Jeffrey Epstein died approximately 1.17 months after being apprehended.

Final Answer: Approximately 1.17 months"
Around what year would Chandrayaan-2's orbiter's planned mission duration end according to the launch date?,2027,space probe,457,yyyy,date_years,head,"category
space probe

caption
Chandrayaan-2

infobox-image
Chandrayaan-2 lander and orbiter integrated module.jpg | Chandrayaan-2 composite

Mission type
Lunar orbiter, lander, rover

Operator
Indian Space Research Organisation (ISRO)

COSPAR ID
2019-042A | Edit this at Wikidata

SATCAT | number
44441

Website
www | .isro | .gov | .in | /chandrayaan2-home-0

Mission duration
Orbiter: ~ 7.5 years (planned); | 2 years, 10 months (elapsed) | Vikram | lander: ≤ 14 days (planned); | 0 days (landing failure) | Pragyan | rover: ≤ 14 days (planned); | 0 days (landing failure)

Spacecraft properties
Manufacturer	Indian Space Research Organisation (ISRO)
Launch mass	Combined (wet): 3,850 kg (8,490 lb) | Combined (dry): 1,308 kg (2,884 lb) | Orbiter (wet): 2,379 kg (5,245 lb) | Orbiter (dry): 682 kg (1,504 lb) | Vikram | lander (wet): 1,471 kg (3,243 lb) | Vikram | lander (dry): 626 kg (1,380 lb) | Pragyan | rover: 27 kg (60 lb)
Power	Orbiter: 1000 watts | Vikram | lander: 650 watts | Pragyan | rover: 50 watts

Start of mission
Launch date	22 July 2019, 09:13:12 UTC
Rocket	GSLV Mark III M1
Launch site	Satish Dhawan Space Centre Second Launch Pad
Contractor	Indian Space Research Organisation (ISRO)

Moon orbiter
Orbital insertion	20 August 2019, 03:32 UTC

Orbital parameters
Pericynthion altitude	100 km (62 mi)
Apocynthion altitude	100 km (62 mi)

Moon lander
Spacecraft component	Rover
Landing date	6 September 2019, 20:23 UTC
Landing site	Lunar south pole (intended)
['Chandrayaan programme | ← Chandrayaan-1 | Chandrayaan-3 →']

","To find out when Chandrayaan-2's orbiter's planned mission duration would end based on its launch date, we need to follow these steps:

1. Identify the orbiter's planned mission duration from the table.
2. Determine the orbiter's launch date.
3. Add the mission duration to the launch date.

Step 1: According to the table, the planned mission duration for the orbiter is approximately 7.5 years.

Step 2: The launch date provided is 22 July 2019.

Step 3: Adding 7.5 years to the launch date (22 July 2019):

Starting from 22 July 2019:
- After one year, it will be 22 July 2020.
- After two years, it will be 22 July 2021.
- After three years, it will be 22 July 2022.
- After four years, it will be 22 July 2023.
- After five years, it will be 22 July 2024.
- After six years, it will be 22 July 2025.
- After seven years, it will be 22 July 2026.
- Half a year after that would be around January 2027.

Therefore, Chandrayaan-2's orbiter's planned mission duration would end around mid-2026 or early 2027.

Final Answer: Around 2026/2027"
At what age did Adolf von Baeyer marry Adelheid Bendemann?,33,nobel,369,<num_years>,years,head,"category
nobel

Adolf von Baeyer
Born	Johann Friedrich Wilhelm Adolf Baeyer | ( | 1835-10-31 | ) | 31 October 1835 | Berlin, Prussia (German Confederation)
Died	20 August 1917 | (1917-08-20) |  (aged 81) | Starnberg, (Bavaria) German Empire
Nationality	Germany
Alma mater	University of Berlin
Known for	Synthesis of indigo, phenolphthalein and fluorescein; Baeyer nomenclature
Spouse(s)	Adelheid Bendemann (m. 1868)
Children	3; including Otto |  [de] | .
Awards	Davy Medal | (1881) | Liebig Medal | (1903) | Nobel Prize for Chemistry | (1905) | Elliott Cresson Medal | (1912)
['Adolf von Baeyer (1905).jpg | Baeyer in 1905']

Scientific career
Fields	Organic chemistry
Institutions	University of Berlin | Gewerbe-Akademie, Berlin | University of Strasbourg | University of Munich
Doctoral advisor	Friedrich August Kekulé | [ | citation needed | ]
Doctoral students	Emil Fischer | John Ulric Nef | Victor Villiger | Carl Theodore Liebermann | Carl Gräbe
Influenced	Otto Hahn

","To find out at what age Adolf von Baeyer married Adelheid Bendemann, we need to follow these steps:

1. Identify Adolf von Baeyer's birth year from the given information.
2. Identify the year he married Adelheid Bendemann.
3. Calculate the difference between the marriage year and the birth year.

Step 1: From the table, we see that Adolf von Baeyer was born on 31 October 1835.

Step 2: The table mentions that he married Adelheid Bendemann in 1868.

Step 3: To calculate his age when he got married:
   - Subtract the birth year from the marriage year: 1868 - 1835 = 33 years.

Therefore, Adolf von Baeyer married Adelheid Bendemann at the age of 33.

Final Answer: 33"
At what age did Adolf von Baeyer receive the Nobel Prize?,70,nobel,369,<num_years>,years,head,"category
nobel

Adolf von Baeyer
Born	Johann Friedrich Wilhelm Adolf Baeyer | ( | 1835-10-31 | ) | 31 October 1835 | Berlin, Prussia (German Confederation)
Died	20 August 1917 | (1917-08-20) |  (aged 81) | Starnberg, (Bavaria) German Empire
Nationality	Germany
Alma mater	University of Berlin
Known for	Synthesis of indigo, phenolphthalein and fluorescein; Baeyer nomenclature
Spouse(s)	Adelheid Bendemann (m. 1868)
Children	3; including Otto |  [de] | .
Awards	Davy Medal | (1881) | Liebig Medal | (1903) | Nobel Prize for Chemistry | (1905) | Elliott Cresson Medal | (1912)
['Adolf von Baeyer (1905).jpg | Baeyer in 1905']

Scientific career
Fields	Organic chemistry
Institutions	University of Berlin | Gewerbe-Akademie, Berlin | University of Strasbourg | University of Munich
Doctoral advisor	Friedrich August Kekulé | [ | citation needed | ]
Doctoral students	Emil Fischer | John Ulric Nef | Victor Villiger | Carl Theodore Liebermann | Carl Gräbe
Influenced	Otto Hahn

","To determine at what age Adolf von Baeyer received the Nobel Prize, we need to follow these steps:

1. Identify when he was born.
2. Identify when he received the Nobel Prize.
3. Calculate his age based on these dates.

Step 1: From the table, we can see that Adolf von Baeyer was born on 31 October 1835.

Step 2: The table also shows that he received the Nobel Prize for Chemistry in 1905.

Step 3: To calculate his age in 1905, we subtract his birth year from the year he received the Nobel Prize:
1905 - 1835 = 70 years old

However, we should consider the exact dates to be more precise. Since he was born on October 31st and received the Nobel Prize in 1905, if the prize was awarded before October 31st, he would have been 70; if after, he would turn 70 during that year. Given typical award schedules and the common practice of celebrating such achievements on or near the recipient's birthday, it is reasonable to conclude he received the prize shortly after turning 70.

Final Answer: Adolf von Baeyer received the Nobel Prize at the age of 70."
At what age did Albert A. Michelson die?,78,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To find out at what age Albert A. Michelson died, we need to follow these steps:

1. Identify his birth year from the given information.
2. Identify his death year from the given information.
3. Subtract the birth year from the death year to get his age at the time of death.

Step 1: From the table, we can see that Albert A. Michelson was born on December 19, 1852.

Step 2: The table also states that he died on May 9, 1931.

Step 3: To calculate his age at the time of death, we subtract the birth year from the death year:
1931 - 1852 = 79 years.

However, since he died in May and was born in December, he had not yet celebrated his 79th birthday in 1931. Therefore, he died at the age of 78.

Final Answer: Albert A. Michelson died at the age of 78."
At what age did Albert A. Michelson marry his first wife Margaret Hemingway?,25,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To determine at what age Albert A. Michelson married his first wife Margaret Hemingway, we need to follow these steps:

1. Identify the birth year of Albert A. Michelson from the provided information.
2. Identify the year he married Margaret Hemingway.
3. Calculate the difference between these two years to find his age at the time of marriage.

Step 1: Albert A. Michelson was born on December 19, 1852.

Step 2: According to the table, Albert A. Michelson married Margaret Hemingway in 1877.

Step 3: To calculate his age when he got married:
- In 1877, he would have turned 24 or 25, since his birthday is on December 19th.
- As the marriage year (1877) is after his birthday (December 19, 1852), he would have already had his 25th birthday by the time of marriage.

Final Answer: Albert A. Michelson was 25 years old when he married his first wife Margaret Hemingway."
At what age did Albert A. Michelson marry his second wife Edna Stanton?,47,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To determine the age at which Albert A. Michelson married his second wife, Edna Stanton, we need to follow these steps:

1. Identify when Albert A. Michelson married Edna Stanton.
2. Find out Albert A. Michelson's birth year.
3. Calculate his age at the time of his marriage to Edna Stanton.

Step 1: From the information provided in the 'Spouse(s)' section, Albert A. Michelson married Edna Stanton in 1899.

Step 2: The table states that Albert A. Michelson was born on December 19, 1852.

Step 3: To calculate his age when he married Edna Stanton, we subtract his birth year from the year he married her:
1899 - 1852 = 47 years old.

Since his birthday was on December 19th, and he married in 1899, it's possible he had already celebrated his 47th birthday by the time he married Edna Stanton. However, if the marriage occurred before December 19th, he would have been 46 years old.

Considering typical marriage practices and the information given, it's reasonable to conclude that he was 47 years old when he married Edna Stanton.

Final Answer: Albert A. Michelson was 47 years old when he married his second wife, Edna Stanton."
At what age did Bev Francis retire from her career?,36,body builder,778,<num_years>,years,head,"category
body builder

Bev Francis
['Bodybuilder', 'Bev Francis with Dr. DeFabio.jpg | Francis interviewed in 2011']

Personal info
Born	( | 1955-02-15 | ) | 15 February 1955 | (age 67) | Geelong, Victoria, Australia
Height	5 ft 5 in (1.65 m)
Weight	160 lb (73 kg)

Professional career
Pro-debut	.mw-parser-output ul.cslist,.mw-parser-output ul.sslist{margin:0;padding:0;display:inline-block;list-style:none}.mw-parser-output ul.cslist-embedded{display:inline}.mw-parser-output .cslist li,.mw-parser-output .sslist li{margin:0;padding:0 .25em 0 0;display:inline-block}.mw-parser-output .cslist li:after{content:"", ""}.mw-parser-output .sslist li:after{content:""; ""}.mw-parser-output .cslist li:last-child:after,.mw-parser-output .sslist li:last-child:after{content:none} | Caesars World Cup | 1983
Best win	IFBB World Pro Championships | 1987
Predecessor	Juliette Bergmann
Successor	Dona Oliveira
Active	Retired 1991

","To find out at what age Bev Francis retired from her career, we need to follow these steps:

1. Identify Bev Francis's birth year from the ""Personal info"" section.
2. Determine the year she retired based on information provided in the ""Professional career"" section.
3. Calculate her age at retirement by subtracting her birth year from her retirement year.

Step 1: From the ""Personal info"" section, we can see that Bev Francis was born on February 15, 1955.

Step 2: In the ""Professional career"" section, it states that she retired in 1991.

Step 3: To calculate her age when she retired:
- Retirement year: 1991
- Birth year: 1955
- Age at retirement = 1991 - 1955 = 36 years old

However, since her birthday is on February 15, if she retired any time before her birthday in 1991, she would have been 35. But typically, age is considered as of the end of the year for such purposes, so we'll consider she turned 36 during her retirement year.

Final Answer: Bev Francis retired at the age of 36."
At what age did Brandon Miller earn a spot on the 2nd Team All-Pro?,34,lacrosse,644,<num_years>,years,head,"category
lacrosse

caption
Brandon Miller

infobox-image
Brandon Miller.jpg

Born
( | 1979-05-04 | ) | May 4, 1979 | (age 43) | Orangeville, Ontario, Canada

Nationality
Canadian

Height
6 ft 1 in (1.85 m)

Weight
190 pounds (86 kg)

Shoots
Left

Position
Goaltender

NLL draft
70th overall, 1999 | Albany Attack

NLL team | Former teams
Toronto Rock | Philadelphia Wings | Chicago Shamrox | San Jose Stealth | Albany Attack

Pro career
2001-

Career highlights
['4x Mann Cup Champion (2002, 2008, 2013, 2014) | 2x NLL All-Star (2007, 2011) | 2nd Team All-Pro (2013) | 4x Harry Lumley Trophy (2002, 2007, 2008, 2014) | Mike Kelley Memorial Trophy (2014)']

","To find out at what age Brandon Miller earned a spot on the 2nd Team All-Pro, we need to follow these steps:

1. Identify when Brandon Miller was named to the 2nd Team All-Pro.
2. Calculate his age at that time based on his birth year.

Step 1: From the 'Career highlights' section of the table, we can see that Brandon Miller was named to the 2nd Team All-Pro in 2013.

Step 2: We know from the 'Born' section that Brandon Miller was born on May 4, 1979. To calculate his age in 2013, we subtract his birth year from the year he was named to the 2nd Team All-Pro:
2013 - 1979 = 34 years old

However, since his birthday is in May and the event happened during the season, we must ensure it occurred after his birthday. Since no specific month or day is mentioned for the achievement, we'll assume it happened after his birthday. Therefore, he would have turned 34 during that year.

Final Answer: Brandon Miller was 34 years old when he earned a spot on the 2nd Team All-Pro."
At what age did Gorshkova begin skating?,4,figure skating,743,<num_years>,years,head,"category
figure skating

Kristina Gorshkova
['GORSHKOVA BUTIKOV 08NHK by Carmichael.jpg | Gorshkova and Butikov at the 2008 NHK Trophy']

Personal information
Full name	Kristina Valeryevna Gorshkova
Country represented	Russia
Born	( | 1989-02-18 | ) | 18 February 1989 | (age 33) | Moscow, Russian SFSR, Soviet Union
Height	1.64 m (5 ft 5 in)
Partner	Vitali Butikov
Coach	Elena Tchaikovskaia | Ksenia Rumiantseva
Former coach	Tatiana Kuzmina
Skating club	Vorobievye Gory
Began skating	1993

ISU personal best scores
Combined total	127.47 | 2010 Cup of Russia
Comp. dance	51.97 | 2010 Cup of Russia
Free dance	75.89 | 2010 Skate Canada

Representing | Russia

Figure skating: Ice dancing

Winter Universiade
['Gold medal - first place | 2011 Erzurum | Ice dancing']

World Junior Championships
['Bronze medal - third place | 2008 Sofia | Ice dancing']

Junior Grand Prix Final
['Bronze medal - third place | 2007-08 Gdańsk | Ice dancing']

","To determine the age at which Kristina Gorshkova began skating, we need to look for specific information about when she started figure skating in the provided table.

Step 1: Locate the relevant information.
In the ""Personal information"" section of the table, there is a row that states ""Began skating 1993"".

Step 2: Determine Gorshkova's birth year.
From the ""Personal information"" section, we can see her full name and birthdate: ""Full name Kristina Valeryevna Gorshkova"" and ""Born ( | 1989-02-18 | ) | 18 February 1989 | (age 33)"".

Step 3: Calculate Gorshkova's age when she began skating.
Since Gorshkova was born in 1989 and began skating in 1993, we subtract her birth year from the year she began skating:
1993 - 1989 = 4

Final Answer: Kristina Gorshkova began skating at the age of 4."
