question,label,category,table_id,answer_format,answer_temporal_unit,split,table_context,response
"After 2024, what year after will the next celebration of Purim occur?",2025,holiday,206,yyyy,date_years,tail,"category
holiday

Purim
Type	Jewish
Significance	Celebration of Jewish deliverance as told in the Book of Esther ( | megillah | )
Celebrations	Listening to the Book of Esther in synagogue; | sending food parcels and giving charity; | dressing up in costume; | eating a festive meal; | parties and parades ( | Adloyada | ); | drinking alcoholic beverages, especially wine
Date	14th day of Adar (in Jerusalem and all ancient walled cities, 15th of Adar)
2021 date	Sunset, 25 February - | nightfall, 26 February
2022 date	Sunset, 16 March - | nightfall, 17 March
2023 date	Sunset, 6 March - | nightfall, 7 March
2024 date	Sunset, 23 March - | nightfall, 24 March
Frequency	Annual
Started by	Esther
Related to	Hanukkah, as a rabbinically decreed Jewish holiday
['A photograph of a small, old book with Hebrew text and an illustration on the right-hand page. | 18th-century manuscript of the prayer of Al HaNissim on the miracles of Purim']

","To determine the next celebration of Purim after 2024, we need to understand the frequency and pattern of the holiday's occurrence.

1. **Frequency of Purim**: According to the table, Purim is an annual holiday. This means it occurs once every year.

2. **Date of Purim**: The table specifies that Purim is celebrated on the 14th day of Adar, and in Jerusalem and other ancient walled cities, it is celebrated on the 15th of Adar. The dates for the years 2021, 2022, 2023, and 2024 are provided, showing the annual occurrence.

3. **Next Celebration After 2024**: Since Purim is an annual holiday, the next celebration after 2024 will occur in the following year, 2025.

Therefore, the next celebration of Purim after 2024 will be in the year 2025.

Final Answer: 2025"
After what age does the most common onset of gallbladder cancer occur?,65,disease,1201,<num_years>,years,tail,"category
disease

Gallbladder cancer
Specialty	Gastroenterology Hepatology Oncology
Symptoms	Abdominal pain, Bloating, Fever, Unexplained weight loss, Nausea, Yellowing of the skin, although some people may have no symptoms
Complications	Cancer spreading to other parts of the body
Usual onset	Above 65 years old
Types	Adenocarcinoma (most common), Squamous cell carcinoma (more rare)
Causes	Unknown
Risk factors	History of Gallstones and other Gallbladder diseases
Diagnostic method	Blood tests, medical imaging, examination of the Bile duct
Differential diagnosis	Other types of cancer in the Digestive system
Treatment	Surgery, Radiation therapy, Chemotherapy
Prognosis	Five-year survival rate ~19% (USA) (January, 2020)
Frequency	~3,700 cases per year (USA)
Deaths	~2,000 deaths per year (USA)
['Illu pancrease.svg']

","To determine the most common onset age for gallbladder cancer, we need to examine the information provided in the table under the ""Usual onset"" section.

1. **Locate the ""Usual onset"" section in the table**: This section provides information about the typical age at which gallbladder cancer commonly begins.

2. **Extract the relevant information**: The table states that the usual onset of gallbladder cancer is ""Above 65 years old.""

3. **Interpret the information**: This means that the most common age for the onset of gallbladder cancer is after the age of 65.

Final Answer: The most common onset of gallbladder cancer occurs after the age of 65."
After what date was Hurricane Gaston on land?,"August 29, 2004",cyclone,957,"%B %d, %Y",date,tail,"category
cyclone

caption
Hurricane Gaston

Category 1 hurricane (SSHWS/NWS)
Formed	August 27, 2004
Dissipated	September 3, 2004
Highest winds	1-minute sustained | 75 mph (120 km/h)
Lowest pressure	985 mbar (hPa); 29.09 inHg
Fatalities	8 direct, 1 indirect
Damage	$130 million (2004 USD)
Areas affected	South Carolina, North Carolina, Virginia, Maryland, Delaware, Massachusetts
['Gaston 2004-08-29 0710Z.jpg | Hurricane Gaston shortly after moving ashore on August 29', '(Extratropical after September 1)']

Part of the | 2004 Atlantic hurricane season

","To determine after what date Hurricane Gaston was on land, we need to analyze the information provided in the table:

1. **Formation and Dissipation Dates**: 
   - Hurricane Gaston formed on August 27, 2004, and dissipated on September 3, 2004.

2. **Areas Affected**:
   - The areas affected by Hurricane Gaston include South Carolina, North Carolina, Virginia, Maryland, Delaware, and Massachusetts. These are all land areas.

3. **Image Caption**:
   - The image caption states ""Hurricane Gaston shortly after moving ashore on August 29."" This indicates that Gaston moved onto land on August 29, 2004.

4. **Extratropical Transition**:
   - The note ""(Extratropical after September 1)"" suggests that the hurricane transitioned to an extratropical cyclone on September 1, 2004. This transition typically occurs when a hurricane moves over land or cooler waters, losing its tropical characteristics.

Based on the information above, Hurricane Gaston was on land after August 29, 2004, as it moved ashore on that date.

Final Answer: After August 29, 2004."
"After winning a bronze medal at the 2001 Mediterranean Games, in which year did Alejandro Valverde next win a medal at the World Championships?",2003,cycling,99,yyyy,date_years,tail,"category
cycling

caption
Alejandro Valverde

infobox-image
20180930 UCI Road World Championships Innsbruck Men Elite Road Race Alejandro Valverde 850 2213 (cropped).jpg | Valverde at the 2018 UCI Road World Championships

Personal information
Full name	Alejandro Valverde Belmonte
Nickname	Balaverde | (The Green Bullet) | El Bala | (The Bullet) | El Imbatido | (The Unbeaten)
Born	( | 1980-04-25 | ) | 25 April 1980 | (age 42) | Las Lumbreras, Spain
Height	1.77 m (5 ft | 9 | + | 1 | ⁄ | 2 |  in)
Weight	61 kg (134 lb; 9 st 8 lb)

Team information
Current team	Movistar Team
Discipline	Road
Role	Rider
Rider type	All-rounder

Amateur teams
1989-1998	Puente Tocinos
1999	Banesto Amateur
2000-2001	Kelme-Costa Blanca Amateur

Professional teams
2002-2004	Kelme-Costa Blanca
2005-2010	Illes Balears-Banesto
2012-	Movistar Team

Major wins

Grand Tours | Tour de France | 4 individual stages (2005, 2008, 2012) | Giro d'Italia | 1 individual stage (2016) | Vuelta a España | General classification | (2009) | Points classification (2012, 2013, 2015, 2018) | Combination classification (2003, 2009, 2012) | 12 individual stages | 2 TTT stages (2012, 2014) | Stage races | Critérium du Dauphiné (2008, 2009) | Volta a Catalunya (2009, 2017, 2018) | Tour of the Basque Country (2017) | Abu Dhabi Tour (2018) | Route d'Occitanie (2018, 2019) | Vuelta a Andalucía (2012, 2013, 2014, 2016, 2017) | Vuelta a Burgos (2004, 2009) | Volta a la Comunitat Valenciana (2004, 2007, 2018) | One-day races and Classics | World Road Race Championships (2018) | National Road Race Championships (2008, 2015, 2019) | National Time Trial Championships (2014) | Liège-Bastogne-Liège (2006, 2008, 2015, 2017) | La Flèche Wallonne (2006, 2014, 2015, 2016, 2017) | Clásica de San Sebastián (2008, 2014) | Roma Maxima (2014) | GP Miguel Induráin (2014, 2018, 2021) | Other | UCI ProTour (2006, 2008) | UCI World Tour (2014, 2015) | UCI World Ranking (2018) | Vélo d'Or (2018)

Representing | Spain

Men's road bicycle racing

World Championships
['Gold medal - first place | 2018 Innsbruck | Road race', 'Silver medal - second place | 2003 Hamilton | Road race', 'Silver medal - second place | 2005 Madrid | Road race', 'Bronze medal - third place | 2006 Salzburg | Road race', 'Bronze medal - third place | 2012 Valkenburg | Road race', 'Bronze medal - third place | 2013 Florence | Road race', 'Bronze medal - third place | 2014 Ponferrada | Road race']

Mediterranean Games
['Bronze medal - third place | 2001 Tunis | Road race']

","To determine the year in which Alejandro Valverde next won a medal at the World Championships after the 2001 Mediterranean Games, we need to follow these steps:

1. **Identify the Year of the 2001 Mediterranean Games Medal:**
   - The table states that Valverde won a bronze medal at the 2001 Mediterranean Games.

2. **List the Years He Won Medals at the World Championships:**
   - According to the table, Valverde won medals at the World Championships in the following years:
     - 2003: Silver medal
     - 2005: Silver medal
     - 2006: Bronze medal
     - 2012: Bronze medal
     - 2013: Bronze medal
     - 2014: Bronze medal
     - 2018: Gold medal

3. **Determine the Next Medal After 2001:**
   - The first World Championships medal after 2001 is in 2003, where he won a silver medal.

Therefore, the next year Alejandro Valverde won a medal at the World Championships after the 2001 Mediterranean Games was 2003.

Final Answer: 2003"
Around which year will the next orbital period begin starting from the time of perihelion?,2206,planet,1138,yyyy,date_years,tail,"category
planet

caption
Neptune | ♆

infobox-image
Neptune - Voyager 2 (29347980845) flatten crop.jpg | Photograph taken by NASA's | Voyager 2 | in 1989

Discovery
Discovered by	Johann Galle | Urbain Le Verrier | John Couch Adams
Discovery date	23 September 1846

Designations
Pronunciation	/ | ˈ | n | ɛ | p | tj | uː | n | / | ( | About this sound | listen | )
Named after	Latin | Neptunus | , via French | Neptune
Adjectives	Neptunian ( | / | n | ɛ | p | ˈ | tj | uː | n | i | ən | / | ), Poseidean

Orbital characteristics
Aphelion	30.33 AU (4.54 billion km)
Perihelion	29.81 AU (4.46 billion km)
Semi-major axis	30.07 AU (4.50 billion km)
Eccentricity	0.008 | 678
Orbital period	164.8 yr | 60,195 days | 89,666 Neptunian solar days
Synodic period	367.49 days
Average orbital speed	5.43 km/s
Mean anomaly	256.228°
Inclination	1.770° | to ecliptic | 6.43° to Sun's equator | 0.74° to invariable plane
Longitude of ascending node	131.783°
Time of perihelion	2042-Sep-04
Argument of perihelion	273.187°
Known satellites	14
['Epoch J2000']

Physical characteristics
Mean radius	24,622 | ± | 19 km
Equatorial radius	24,764 | ± | 15 km | 3.883 Earths
Polar radius	24,341 | ± | 30 km | 3.829 Earths
Flattening	0.0171 | ± | 0.0013
Surface area	7.6187 | × | 10 | 9 |  km | 2 | 14.98 Earths
Volume	6.253 | × | 10 | 13 |  km | 3 | 57.74 Earths
Mass	1.024 | 13 | × | 10 | 26 |  kg | 17.147 Earths | 5.15 | × | 10 | −5 |  Suns
Mean density	1.638 g/cm | 3
Surface gravity	11.15 m/s | 2 | 1.14 | g
Moment of inertia factor	0.23 | (estimate)
Escape velocity	23.5 km/s
Rotation period	0.671 | 25 |  d | 16 h 6 m 36 s | (synodic; solar day)
Sidereal rotation period	0.6713 day | 16 h 6 min 36 s
Equatorial rotation velocity	2.68 km/s (9,650 km/h)
Axial tilt	28.32° (to orbit)
North pole | right ascension	19 | h | 57 | m | 20 | s | 299.3°
North pole declination	42.950°
Albedo	0.290 (bond) | 0.442 (geom.)
Apparent magnitude	7.67 to 8.00
Angular diameter	2.2-2.4″
['Surface temp. | min | mean | max', '1 bar level | 72 K (−201 °C)', '0.1 bar (10 kPa) | 55 K (−218 °C)']

Atmosphere
Scale height	19.7 | ± | 0.6 km
Composition by volume	Gases | 80% | ± | 3.2% | hydrogen ( | .mw-parser-output .template-chem2-su{display:inline-block;font-size:80%;line-height:1;vertical-align:-.35em}.mw-parser-output .template-chem2-su>span{display:block}.mw-parser-output sub.template-chem2-sub{font-size:80%;vertical-align:-.35em}.mw-parser-output sup.template-chem2-sup{font-size:80%;vertical-align:.65em} | H | 2 | ) | 19% | ± | 3.2% | helium (He) | 1.5% | ± | 0.5% | methane ( | CH | 4 | ) | ~0.019% hydrogen deuteride (HD) | ~0.00015% ethane ( | C | 2 | H | 6 | ) | Ices | ammonia ( | NH | 3 | ) | water ( | H | 2 | O | ) | ammonium hydrosulfide ( | NH | 4 | SH | ) | methane ice (?) ( | CH | 4 | ·5.75H | 2 | O | )
['.mw-parser-output .reflist{font-size:90%;margin-bottom:.5em;list-style-type:decimal}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman}']

","To determine the year when the next orbital period of Neptune will begin starting from the time of perihelion, we need to follow these steps:

1. **Identify the Time of Perihelion:**
   - The time of perihelion is given as 2042-09-04.

2. **Determine the Orbital Period:**
   - Neptune's orbital period is 164.8 years.

3. **Calculate the Start of the Next Orbital Period:**
   - Add the orbital period to the time of perihelion to find when the next orbital period begins.
   - Start year: 2042
   - Orbital period: 164.8 years

   \[
   2042 + 164.8 = 2206.8
   \]

4. **Interpret the Result:**
   - The decimal 0.8 of a year corresponds to approximately 0.8 × 365.25 days (accounting for leap years), which is about 292 days.
   - Adding 292 days to September 4, 2206, brings us to around June 30, 2207.

Therefore, the next orbital period of Neptune will begin around June 30"
At what age can an Australian both serve and be deployed in the Australian Defence Force?,18,army,1116,<num_years>,years,tail,"category
army

Australian Defence Force
Founded	1 January 1901 |  ( | 1901-01-01 | ) | (federation)
Current form	9 February 1976 |  ( | 1976-02-09 | )
Service branches	Royal Australian Navy | Australian Army | Royal Australian Air Force
Headquarters	Canberra, ACT, as part of the Australian Defence Organisation
['Australian Defence Force tri-service flag.jpg | The Australian Defence Force tri-service flag']

Leadership
Commander-in-Chief	General David Hurley
Prime Minister	Anthony Albanese
Minister for Defence	Richard Marles
Chief of the Defence Force	General Angus Campbell

Personnel
Military age	16.5 years (for selection) | 17 years (to serve) | 18 years (to deploy) | 19 years (for special forces deployment)
Conscription	No, abolished
Active personnel	59,095 (30 June 2020)
Reserve personnel	28,878 (30 June 2020)
Deployed personnel	1,841 (July 2020)

Expenditures
Budget	A$ | 44.6 billion (2021-22)
Percent of GDP	2.0

Industry
Domestic suppliers	Defence industry of Australia
Annual exports	Around | A$ | 2 billion (2018)

Related articles
History	Military history of Australia
Ranks	Australian Defence Force ranks and insignia

","To determine the age at which an Australian can both serve and be deployed in the Australian Defence Force (ADF), we need to analyze the information provided in the table under the ""Personnel"" section.

1. **Military Age for Selection**: The table states that the age for selection is 16.5 years. However, this is just for the selection process and not for actual service or deployment.

2. **Military Age to Serve**: The table specifies that the age to serve in the ADF is 17 years. This means that an individual must be at least 17 years old to begin serving in the ADF.

3. **Military Age to Deploy**: The table indicates that the age to deploy is 18 years. This means that an individual must be at least 18 years old to be deployed.

4. **Military Age for Special Forces Deployment**: The table mentions that the age for special forces deployment is 19 years. This is a specific requirement for special forces and not for general deployment.

To find the age at which an individual can both serve and be deployed, we need to consider the minimum age requirements for both serving and deploying. 

- Serving starts at 17 years.
- Deploying starts at 18 years.

Therefore, an individual must be"
"At what age can an Australian first be selected, serve, be deployed, and be eligible for selective service in the Australian Defence Force?",19,army,1116,<num_years>,years,tail,"category
army

Australian Defence Force
Founded	1 January 1901 |  ( | 1901-01-01 | ) | (federation)
Current form	9 February 1976 |  ( | 1976-02-09 | )
Service branches	Royal Australian Navy | Australian Army | Royal Australian Air Force
Headquarters	Canberra, ACT, as part of the Australian Defence Organisation
['Australian Defence Force tri-service flag.jpg | The Australian Defence Force tri-service flag']

Leadership
Commander-in-Chief	General David Hurley
Prime Minister	Anthony Albanese
Minister for Defence	Richard Marles
Chief of the Defence Force	General Angus Campbell

Personnel
Military age	16.5 years (for selection) | 17 years (to serve) | 18 years (to deploy) | 19 years (for special forces deployment)
Conscription	No, abolished
Active personnel	59,095 (30 June 2020)
Reserve personnel	28,878 (30 June 2020)
Deployed personnel	1,841 (July 2020)

Expenditures
Budget	A$ | 44.6 billion (2021-22)
Percent of GDP	2.0

Industry
Domestic suppliers	Defence industry of Australia
Annual exports	Around | A$ | 2 billion (2018)

Related articles
History	Military history of Australia
Ranks	Australian Defence Force ranks and insignia

","To determine the ages at which an Australian can first be selected, serve, be deployed, and be eligible for selective service in the Australian Defence Force (ADF), we need to extract and analyze the relevant information from the table provided.

1. **Age for Selection:**
   - The table states that the military age for selection is 16.5 years. This means an individual can be considered for selection into the ADF at 16.5 years old.

2. **Age to Serve:**
   - The table indicates that the age to serve is 17 years. Therefore, an individual can officially begin serving in the ADF at 17 years old.

3. **Age to Deploy:**
   - According to the table, the age to deploy is 18 years. This means an individual can be deployed for service at 18 years old.

4. **Age for Special Forces Deployment:**
   - The table specifies that the age for special forces deployment is 19 years. Thus, an individual can be deployed in special forces roles at 19 years old.

5. **Conscription:**
   - The table notes that conscription is abolished in Australia. Therefore, there is no age at which an individual is eligible for selective service through conscription.

"
At what age did Brian Lara play for Southern Rocks?,41,cricket,528,<num_years>,years,tail,"category
cricket

caption
The Honourable | Brian Lara | TC, OCC, AM

infobox-image
Brian Lara at 2012 Mumbai Marathon pre bash.jpg | Lara in 2012

Personal information
Full name	Brian Charles Lara
Born	( | 1969-05-02 | ) | 2 May 1969 | (age 53) | Santa Cruz, Trinidad and Tobago
Height	5 ft 8 in (1.73 m)
Batting	Left-handed
Bowling	Right-arm leg break
Role	Batsman
Relations	Darren Bravo (nephew)

International information
National side	West Indies (1990-2007)
Test debut (cap 196)	6 December 1990 v Pakistan
Last Test	27 November 2006 v Pakistan
ODI debut (cap 59)	9 November 1990 v Pakistan
Last ODI	21 April 2007 v England
ODI shirt no.	9

Domestic team information
1987-2008	Trinidad and Tobago
1992-1993	Transvaal
1994-1998	Warwickshire
2010	Southern Rocks
['Years | Team']

Career statistics
['Competition | Test | ODI | FC | LA', 'Matches | 131 | 299 | 261 | 429', 'Runs scored | 11,953 | 10,405 | 22,156 | 14,602', 'Batting average | 52.88 | 40.48 | 51.88 | 39.67', '100s/50s | 34/48 | 19/63 | 65/88 | 27/86', 'Top score | 400* | 169 | 501* | 169', 'Balls bowled | 60 | 49 | 514 | 130', 'Wickets | - | 4 | 4 | 5', 'Bowling average | - | 15.25 | 104.00 | 29.80', '5 wickets in innings | - | 0 | 0 | 0', '10 wickets in match | - | 0 | 0 | 0', 'Best bowling | - | 2/5 | 1/1 | 2/5', 'Catches/stumpings | 164/- | 120/- | 320/- | 177/-', 'Source: CricInfo, | 4 February 2012']

","To determine the age at which Brian Lara played for Southern Rocks, we need to follow these steps:

1. **Identify the Year Brian Lara Played for Southern Rocks:**
   - From the ""Domestic team information"" section, we see that Brian Lara played for Southern Rocks in the year 2010.

2. **Determine Brian Lara's Birth Year:**
   - From the ""Personal information"" section, we know that Brian Lara was born on 2 May 1969.

3. **Calculate Brian Lara's Age in 2010:**
   - Subtract the birth year from the year he played for Southern Rocks: 
     \[
     2010 - 1969 = 41
     \]
   - Since his birthday on 2 May had already passed by the time he played in 2010, he would have turned 41 that year.

Final Answer: Brian Lara was 41 years old when he played for Southern Rocks."
At what age did Brian Lara play his last ODI?,37,cricket,528,<num_years>,years,tail,"category
cricket

caption
The Honourable | Brian Lara | TC, OCC, AM

infobox-image
Brian Lara at 2012 Mumbai Marathon pre bash.jpg | Lara in 2012

Personal information
Full name	Brian Charles Lara
Born	( | 1969-05-02 | ) | 2 May 1969 | (age 53) | Santa Cruz, Trinidad and Tobago
Height	5 ft 8 in (1.73 m)
Batting	Left-handed
Bowling	Right-arm leg break
Role	Batsman
Relations	Darren Bravo (nephew)

International information
National side	West Indies (1990-2007)
Test debut (cap 196)	6 December 1990 v Pakistan
Last Test	27 November 2006 v Pakistan
ODI debut (cap 59)	9 November 1990 v Pakistan
Last ODI	21 April 2007 v England
ODI shirt no.	9

Domestic team information
1987-2008	Trinidad and Tobago
1992-1993	Transvaal
1994-1998	Warwickshire
2010	Southern Rocks
['Years | Team']

Career statistics
['Competition | Test | ODI | FC | LA', 'Matches | 131 | 299 | 261 | 429', 'Runs scored | 11,953 | 10,405 | 22,156 | 14,602', 'Batting average | 52.88 | 40.48 | 51.88 | 39.67', '100s/50s | 34/48 | 19/63 | 65/88 | 27/86', 'Top score | 400* | 169 | 501* | 169', 'Balls bowled | 60 | 49 | 514 | 130', 'Wickets | - | 4 | 4 | 5', 'Bowling average | - | 15.25 | 104.00 | 29.80', '5 wickets in innings | - | 0 | 0 | 0', '10 wickets in match | - | 0 | 0 | 0', 'Best bowling | - | 2/5 | 1/1 | 2/5', 'Catches/stumpings | 164/- | 120/- | 320/- | 177/-', 'Source: CricInfo, | 4 February 2012']

","To determine the age at which Brian Lara played his last ODI, we need to follow these steps:

1. **Identify the Date of Birth**: According to the table, Brian Lara was born on 2 May 1969.

2. **Identify the Date of the Last ODI**: The table states that his last ODI was on 21 April 2007.

3. **Calculate the Age at the Time of the Last ODI**:
   - From 2 May 1969 to 2 May 2006, Brian Lara would have turned 37 years old.
   - From 2 May 2006 to 21 April 2007, he would not have reached his 38th birthday yet.

4. **Conclusion**: On 21 April 2007, Brian Lara was still 37 years old.

Final Answer: Brian Lara was 37 years old when he played his last ODI."
At what age did Chiyonofuji Mitsugu retire?,36,sumo,131,<num_years>,years,tail,"category
sumo

Chiyonofuji Mitsugu

千代の富士 貢
['Kokonoe.jpg | Chiyonofuji in 2010']

Personal information
Born	Mitsugu Akimoto | ( | 1955-06-01 | ) | June 1, 1955 | Fukushima, Hokkaido, Japan
Died	July 31, 2016 | (2016-07-31) | (aged 61) | Tokyo, Japan
Height	183 cm (6 ft 0 in)
Weight	126 kg (278 lb; 19 st 12 lb)

Career
Stable	Kokonoe
Record	1045-437-170
Debut	September, 1970
Highest rank	Yokozuna (July, 1981)
Retired	May, 1991
Elder name	Kokonoe
Championships	31 (Makuuchi) | 1 (Makushita)
Special Prizes	Outstanding Performance (1) | Fighting Spirit (1) | Technique (5)
Gold Stars	3 | Mienoumi (2) | Wakanohana II

* Up to date as of June 2020.

","To determine the age at which Chiyonofuji Mitsugu retired, we need to follow these steps:

1. **Identify the Year of Birth:**
   - Chiyonofuji Mitsugu was born on June 1, 1955.

2. **Identify the Year of Retirement:**
   - According to the table, Chiyonofuji retired in May 1991.

3. **Calculate the Age at Retirement:**
   - Since he retired in May 1991 and was born in June 1955, he had not yet reached his birthday in 1991.
   - Therefore, we calculate his age as follows:
     - 1991 (year of retirement) - 1955 (year of birth) = 36 years.
   - Since he retired before his birthday in 1991, he was still 35 years old at the time of retirement.

Final Answer: Chiyonofuji Mitsugu retired at the age of 35."
