question,label,category,table_id,answer_format,answer_temporal_unit,split,table_context,response
Approximately how many months after being apprehended did Jeffrey Epstein die by suicide?,1,person,340,<num_months>,months,head,"category
person

Jeffrey Epstein
Born	Jeffrey Edward Epstein | ( | 1953-01-20 | ) | January 20, 1953 | New York City, New York, U.S.
Died	August 10, 2019 | (2019-08-10) | (aged 66) | New York City, New York, U.S.
Cause of death	Suicide by hanging
Resting place	I.J. Morris Star of David Cemetery, Palm Beach, Florida
Occupation	Financier | broker | educator | socialite
Title	Owner of Jeffrey Epstein VI Foundation
Criminal charge	Procuring an underage girl for prostitution; sex trafficking
Penalty	13 months with work release (2008)
[""Epstein Final Mugshot.png | Epstein's final mugshot, July 9, 2019""]

Details
Victims	36
Date apprehended	July 6, 2019 (second criminal case)
Website	www | .jeffreyepstein | .org

","To find the approximate number of months after being apprehended that Jeffrey Epstein died by suicide, we need to follow these steps:

1. Identify the date Jeffrey Epstein was apprehended: The table states that Jeffrey Epstein was apprehended on July 6, 2019.
2. Identify the date Jeffrey Epstein died by suicide: The table also states that Jeffrey Epstein died by suicide on August 10, 2019.
3. Calculate the time difference between the two dates: Since Jeffrey Epstein was apprehended on July 6, 2019, and died on August 10, 2019, we need to find the number of days between these two dates.
4. Convert the time difference to months: We will then convert the number of days to months.

Step 1: Identify the dates
- Apprehended date: July 6, 2019
- Death date: August 10, 2019

Step 2: Calculate the time difference
- The time difference between July 6, 2019, and August 10, 2019, is 35 days.

Step 3: Convert the time difference to months
- Since there are approximately 30.44 days in a month, we can divide 35 by "
Around what year would Chandrayaan-2's orbiter's planned mission duration end according to the launch date?,2027,space probe,457,yyyy,date_years,head,"category
space probe

caption
Chandrayaan-2

infobox-image
Chandrayaan-2 lander and orbiter integrated module.jpg | Chandrayaan-2 composite

Mission type
Lunar orbiter, lander, rover

Operator
Indian Space Research Organisation (ISRO)

COSPAR ID
2019-042A | Edit this at Wikidata

SATCAT | number
44441

Website
www | .isro | .gov | .in | /chandrayaan2-home-0

Mission duration
Orbiter: ~ 7.5 years (planned); | 2 years, 10 months (elapsed) | Vikram | lander: ≤ 14 days (planned); | 0 days (landing failure) | Pragyan | rover: ≤ 14 days (planned); | 0 days (landing failure)

Spacecraft properties
Manufacturer	Indian Space Research Organisation (ISRO)
Launch mass	Combined (wet): 3,850 kg (8,490 lb) | Combined (dry): 1,308 kg (2,884 lb) | Orbiter (wet): 2,379 kg (5,245 lb) | Orbiter (dry): 682 kg (1,504 lb) | Vikram | lander (wet): 1,471 kg (3,243 lb) | Vikram | lander (dry): 626 kg (1,380 lb) | Pragyan | rover: 27 kg (60 lb)
Power	Orbiter: 1000 watts | Vikram | lander: 650 watts | Pragyan | rover: 50 watts

Start of mission
Launch date	22 July 2019, 09:13:12 UTC
Rocket	GSLV Mark III M1
Launch site	Satish Dhawan Space Centre Second Launch Pad
Contractor	Indian Space Research Organisation (ISRO)

Moon orbiter
Orbital insertion	20 August 2019, 03:32 UTC

Orbital parameters
Pericynthion altitude	100 km (62 mi)
Apocynthion altitude	100 km (62 mi)

Moon lander
Spacecraft component	Rover
Landing date	6 September 2019, 20:23 UTC
Landing site	Lunar south pole (intended)
['Chandrayaan programme | ← Chandrayaan-1 | Chandrayaan-3 →']

","To find the planned mission duration of Chandrayaan-2's orbiter, we need to look at the ""Mission duration"" section of the table. It states that the planned mission duration for the orbiter is around 7.5 years.

Next, we need to find the launch date of Chandrayaan-2, which is mentioned in the ""Start of mission"" section. The launch date is 22 July 2019.

To find the year when the planned mission duration would end, we need to add 7.5 years to the launch year. 

2019 + 7.5 years = 2019 + 7 years + 1 year (since 0.5 years is half a year)
= 2026 + 1 year
= 2027

However, the question asks for the year when the planned mission duration would end according to the launch date, which is 22 July 2019. Since the launch date is in July 2019, we should consider the year after 2027, which would be the year when the mission duration ends.

But, we need to add 7.5 years to the launch date's month, not the year. 

So, we add 7.5 years"
At what age did Adolf von Baeyer marry Adelheid Bendemann?,33,nobel,369,<num_years>,years,head,"category
nobel

Adolf von Baeyer
Born	Johann Friedrich Wilhelm Adolf Baeyer | ( | 1835-10-31 | ) | 31 October 1835 | Berlin, Prussia (German Confederation)
Died	20 August 1917 | (1917-08-20) |  (aged 81) | Starnberg, (Bavaria) German Empire
Nationality	Germany
Alma mater	University of Berlin
Known for	Synthesis of indigo, phenolphthalein and fluorescein; Baeyer nomenclature
Spouse(s)	Adelheid Bendemann (m. 1868)
Children	3; including Otto |  [de] | .
Awards	Davy Medal | (1881) | Liebig Medal | (1903) | Nobel Prize for Chemistry | (1905) | Elliott Cresson Medal | (1912)
['Adolf von Baeyer (1905).jpg | Baeyer in 1905']

Scientific career
Fields	Organic chemistry
Institutions	University of Berlin | Gewerbe-Akademie, Berlin | University of Strasbourg | University of Munich
Doctoral advisor	Friedrich August Kekulé | [ | citation needed | ]
Doctoral students	Emil Fischer | John Ulric Nef | Victor Villiger | Carl Theodore Liebermann | Carl Gräbe
Influenced	Otto Hahn

","A: Let's think step by step.

Step 1: We need to find the year Adolf von Baeyer married Adelheid Bendemann.
From the table, we see that Adolf von Baeyer married Adelheid Bendemann in the year 1868.

Step 2: We need to find Adolf von Baeyer's birth year to determine his age at the time of marriage.
From the table, we see that Adolf von Baeyer was born on October 31, 1835.

Step 3: We need to calculate Adolf von Baeyer's age at the time of marriage.
To do this, we subtract his birth year from the year he got married: 1868 - 1835 = 33.

Final Answer: The final answer is 33."
At what age did Adolf von Baeyer receive the Nobel Prize?,70,nobel,369,<num_years>,years,head,"category
nobel

Adolf von Baeyer
Born	Johann Friedrich Wilhelm Adolf Baeyer | ( | 1835-10-31 | ) | 31 October 1835 | Berlin, Prussia (German Confederation)
Died	20 August 1917 | (1917-08-20) |  (aged 81) | Starnberg, (Bavaria) German Empire
Nationality	Germany
Alma mater	University of Berlin
Known for	Synthesis of indigo, phenolphthalein and fluorescein; Baeyer nomenclature
Spouse(s)	Adelheid Bendemann (m. 1868)
Children	3; including Otto |  [de] | .
Awards	Davy Medal | (1881) | Liebig Medal | (1903) | Nobel Prize for Chemistry | (1905) | Elliott Cresson Medal | (1912)
['Adolf von Baeyer (1905).jpg | Baeyer in 1905']

Scientific career
Fields	Organic chemistry
Institutions	University of Berlin | Gewerbe-Akademie, Berlin | University of Strasbourg | University of Munich
Doctoral advisor	Friedrich August Kekulé | [ | citation needed | ]
Doctoral students	Emil Fischer | John Ulric Nef | Victor Villiger | Carl Theodore Liebermann | Carl Gräbe
Influenced	Otto Hahn

","To find the answer, let's break down the information provided in the table step by step.

1. We need to find the year Adolf von Baeyer received the Nobel Prize. Looking at the table, we see that the Nobel Prize for Chemistry was mentioned in the ""Awards"" section.
2. The Nobel Prize for Chemistry is listed as ""(1905)"" in the table. This means Adolf von Baeyer received the Nobel Prize in the year 1905.
3. Now, we need to find Adolf von Baeyer's birth year to calculate his age at the time of receiving the Nobel Prize. His birth date is mentioned as ""31 October 1835"".
4. To calculate his age, we subtract his birth year from the year he received the Nobel Prize. So, 1905 - 1835 = 70.

Therefore, Adolf von Baeyer received the Nobel Prize at the age of 70.

Final Answer: The final answer is 70."
At what age did Albert A. Michelson die?,78,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To find the age at which Albert A. Michelson died, we need to follow these steps:

1. Identify the date of Albert A. Michelson's birth and death from the table.
   - Birth date: December 19, 1852
   - Death date: May 9, 1931

2. Calculate the difference in years between his death date and birth date to find his age at the time of death.
   - Death year: 1931
   - Birth year: 1852
   - Age = Death year - Birth year = 1931 - 1852 = 79

However, since the table indicates that Albert A. Michelson was 78 years old at the time of his death, we can infer that he died on his 78th birthday. Therefore, the correct answer is 78 years old.

Final Answer: The final answer is 78."
At what age did Albert A. Michelson marry his first wife Margaret Hemingway?,25,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To find the age at which Albert A. Michelson married his first wife Margaret Hemingway, we need to follow these steps:

1. Find the date of birth of Albert A. Michelson.
   The date of birth is given as December 19, 1852.

2. Find the date of marriage to Margaret Hemingway.
   The date of marriage is given as 1877.

3. Calculate the age of Albert A. Michelson at the time of marriage.
   To do this, we need to subtract the year of birth from the year of marriage and then subtract the month and day of birth from the month and day of marriage if the month and day of marriage is after the month and day of birth.

   Year of birth: 1852
   Year of marriage: 1877
   Age in years = Year of marriage - Year of birth = 1877 - 1852 = 25

   Since the month and day of marriage (1877) is not specified, we will assume it is after December 19, 1877, which is the same as the birthdate. However, since the exact date is not provided, we will assume he got married in the same year he was born in. 

"
At what age did Albert A. Michelson marry his second wife Edna Stanton?,47,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To find the age of Albert A. Michelson when he married his second wife Edna Stanton, we need to follow these steps:

1. Find the date of birth of Albert A. Michelson.
   From the table, Albert A. Michelson was born on December 19, 1852.

2. Find the date of marriage to Edna Stanton.
   From the table, Albert A. Michelson married Edna Stanton in 1899.

3. Calculate the age of Albert A. Michelson at the time of marriage.
   Since the exact date of marriage is not provided, we can assume it occurred in 1899. To find the age, we need to subtract the year of birth from the year of marriage. However, we also need to consider the month and day of birth.

4. Since the month and day of birth are December 19, we can assume that Albert A. Michelson was born in December 1852. If he married Edna Stanton in 1899, he would have been 46 years old.

However, we need to consider the exact date of marriage. Since the exact date of marriage is not provided, we can't calculate the exact age. But we can calculate the age based on the year of"
At what age did Bev Francis retire from her career?,36,body builder,778,<num_years>,years,head,"category
body builder

Bev Francis
['Bodybuilder', 'Bev Francis with Dr. DeFabio.jpg | Francis interviewed in 2011']

Personal info
Born	( | 1955-02-15 | ) | 15 February 1955 | (age 67) | Geelong, Victoria, Australia
Height	5 ft 5 in (1.65 m)
Weight	160 lb (73 kg)

Professional career
Pro-debut	.mw-parser-output ul.cslist,.mw-parser-output ul.sslist{margin:0;padding:0;display:inline-block;list-style:none}.mw-parser-output ul.cslist-embedded{display:inline}.mw-parser-output .cslist li,.mw-parser-output .sslist li{margin:0;padding:0 .25em 0 0;display:inline-block}.mw-parser-output .cslist li:after{content:"", ""}.mw-parser-output .sslist li:after{content:""; ""}.mw-parser-output .cslist li:last-child:after,.mw-parser-output .sslist li:last-child:after{content:none} | Caesars World Cup | 1983
Best win	IFBB World Pro Championships | 1987
Predecessor	Juliette Bergmann
Successor	Dona Oliveira
Active	Retired 1991

","To find the age at which Bev Francis retired from her career, we need to follow these steps:

1. Find Bev Francis' birthdate: This information is available in the ""Personal info"" section of the table. The birthdate is given as 15 February 1955.

2. Determine the year Bev Francis retired: This information is available in the ""Professional career"" section of the table. It is mentioned that Bev Francis retired in 1991.

3. Calculate the age at which Bev Francis retired: To do this, we need to find the difference between the year of retirement (1991) and the year of birth (1955). However, since we are asked for the age in a specific year, we need to know the current year to calculate the age. Since the current date is assumed to be December 2022, we will use this year to calculate Bev Francis' age at retirement.

   First, let's find the difference between the year of retirement (1991) and the year of birth (1955): 1991 - 1955 = 36 years

   Now, let's find the difference between the current year (2022) and the year of birth (1955): 202"
At what age did Brandon Miller earn a spot on the 2nd Team All-Pro?,34,lacrosse,644,<num_years>,years,head,"category
lacrosse

caption
Brandon Miller

infobox-image
Brandon Miller.jpg

Born
( | 1979-05-04 | ) | May 4, 1979 | (age 43) | Orangeville, Ontario, Canada

Nationality
Canadian

Height
6 ft 1 in (1.85 m)

Weight
190 pounds (86 kg)

Shoots
Left

Position
Goaltender

NLL draft
70th overall, 1999 | Albany Attack

NLL team | Former teams
Toronto Rock | Philadelphia Wings | Chicago Shamrox | San Jose Stealth | Albany Attack

Pro career
2001-

Career highlights
['4x Mann Cup Champion (2002, 2008, 2013, 2014) | 2x NLL All-Star (2007, 2011) | 2nd Team All-Pro (2013) | 4x Harry Lumley Trophy (2002, 2007, 2008, 2014) | Mike Kelley Memorial Trophy (2014)']

","To answer the question, let's break it down step by step:

1. We need to find the year Brandon Miller earned a spot on the 2nd Team All-Pro.
2. The table provides a list of Brandon Miller's career highlights, which includes his awards and recognitions.
3. We are looking for the year associated with the 2nd Team All-Pro award.
4. The table mentions that Brandon Miller was a 2nd Team All-Pro in the year 2013.
5. Now, we need to find Brandon Miller's age in 2013.
6. According to the table, Brandon Miller was born on May 4, 1979.
7. To find his age in 2013, we subtract his birth year from 2013: 2013 - 1979 = 34.
8. Therefore, Brandon Miller was 34 years old when he earned a spot on the 2nd Team All-Pro in 2013.

Final Answer: The final answer is 34."
At what age did Gorshkova begin skating?,4,figure skating,743,<num_years>,years,head,"category
figure skating

Kristina Gorshkova
['GORSHKOVA BUTIKOV 08NHK by Carmichael.jpg | Gorshkova and Butikov at the 2008 NHK Trophy']

Personal information
Full name	Kristina Valeryevna Gorshkova
Country represented	Russia
Born	( | 1989-02-18 | ) | 18 February 1989 | (age 33) | Moscow, Russian SFSR, Soviet Union
Height	1.64 m (5 ft 5 in)
Partner	Vitali Butikov
Coach	Elena Tchaikovskaia | Ksenia Rumiantseva
Former coach	Tatiana Kuzmina
Skating club	Vorobievye Gory
Began skating	1993

ISU personal best scores
Combined total	127.47 | 2010 Cup of Russia
Comp. dance	51.97 | 2010 Cup of Russia
Free dance	75.89 | 2010 Skate Canada

Representing | Russia

Figure skating: Ice dancing

Winter Universiade
['Gold medal - first place | 2011 Erzurum | Ice dancing']

World Junior Championships
['Bronze medal - third place | 2008 Sofia | Ice dancing']

Junior Grand Prix Final
['Bronze medal - third place | 2007-08 Gdańsk | Ice dancing']

","To find the age at which Gorshkova began skating, we need to follow these steps:

1. Find the year when Gorshkova started skating: In the table, it's mentioned that Gorshkova began skating in 1993.

2. Find the year of Gorshkova's birth: According to the table, Gorshkova was born on 18 February 1989.

3. Calculate the age when Gorshkova started skating: To do this, we need to find the difference between the year she started skating (1993) and the year of her birth (1989).

4. Perform the subtraction: 1993 - 1989 = 4

Therefore, Gorshkova began skating at the age of 4.

Final Answer: The final answer is 4."
