question,label,question_type,question_wo_instruct,instruction,answer_format,answer_temporal_unit,split,response
"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2005-04-07'},trick,"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 7 days from the date of the most important game, which is 2005-04-14."", ""answer"": ""2005-04-07""}

The second most important game was on 2005-04-07."
"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2019-03-01'},trick,"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, we need to subtract 6 days from the given date of birth (2019-03-07)."", ""answer"": ""2019-03-01""}

The date of birth of the cousin is 2019-03-01."
"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-06-10'},trick,"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, we need to subtract 10 days from the given date of birth, which is 2001-06-20."", ""answer"": ""2001-06-10""}

The date of birth of the cousin is 2001-06-10."
"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2006-06-08'},trick,"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, we need to subtract 5 days from the given date of birth (2006-06-13). We can do this by using a date calculator or by manually counting the days. Since the cousin was born 5 days before, we will subtract 5 days from the given date."", ""answer"": ""2006-06-08""}

The date of birth of the cousin is 2006-06-08."
"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2012-12-17'},trick,"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 2 days from the date of the most important game, which is 2012-12-19."", ""answer"": ""2012-12-17""}

The second most important game was on 2012-12-17."
"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2016-11-07'},trick,"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 7 days from the date of the most important game, which is 2016-11-14."", ""answer"": ""2016-11-07""}

The second most important game was on 2016-11-07."
"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-08-07'},trick,"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date 3 days ago from 2001-08-10, we need to subtract 3 days from the given date. We can do this by subtracting 3 from the day part of the date, which is 10. If the result is less than 1, we need to borrow 1 from the month part of the date, which is 8. So, we subtract 1 from 8, making it 7, and add 30 (assuming a month has 30 days) to the day part, making it 40. Now, we subtract 3 from 40, which gives us 37. So, the date 3 days ago is 2001-08-07."", ""answer"": ""2001-08-07""},
"
"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2007-11-18'},trick,"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, we need to add 2 days to the given date of birth (2007-11-20). We can do this by using a date manipulation method or by simply counting the days."", ""answer"": ""2007-11-22""}

The date of birth of the cousin is 2007-11-22."
"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2003-12-04'},trick,"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 10 days from the date of the most important game, which is 2003-12-14."", ""answer"": ""2003-12-04""}

The second most important game was on 2003-12-04."
"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2020-07-12'},trick,"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 2 days from the date of the most important game, which is 2020-07-14."", ""answer"": ""2020-07-12""}

The second most important game was on 2020-07-12."
