question,label,category,table_id,answer_format,answer_temporal_unit,split,table_context,response
Approximately how many months after being apprehended did Jeffrey Epstein die by suicide?,1,person,340,<num_months>,months,head,"category
person

Jeffrey Epstein
Born	Jeffrey Edward Epstein | ( | 1953-01-20 | ) | January 20, 1953 | New York City, New York, U.S.
Died	August 10, 2019 | (2019-08-10) | (aged 66) | New York City, New York, U.S.
Cause of death	Suicide by hanging
Resting place	I.J. Morris Star of David Cemetery, Palm Beach, Florida
Occupation	Financier | broker | educator | socialite
Title	Owner of Jeffrey Epstein VI Foundation
Criminal charge	Procuring an underage girl for prostitution; sex trafficking
Penalty	13 months with work release (2008)
[""Epstein Final Mugshot.png | Epstein's final mugshot, July 9, 2019""]

Details
Victims	36
Date apprehended	July 6, 2019 (second criminal case)
Website	www | .jeffreyepstein | .org

","To determine how many months after being apprehended Jeffrey Epstein died by suicide, we need to follow these steps:

1. **Identify the Date of Apprehension:**
   - Jeffrey Epstein was apprehended on July 6, 2019.

2. **Identify the Date of Death:**
   - Jeffrey Epstein died on August 10, 2019.

3. **Calculate the Time Between the Two Dates:**
   - From July 6, 2019, to August 6, 2019, is exactly 1 month.
   - From August 6, 2019, to August 10, 2019, is an additional 4 days.

4. **Convert the Total Time to Months:**
   - The total time from July 6, 2019, to August 10, 2019, is 1 month and 4 days.
   - Since 4 days is a small fraction of a month, it is approximately 1 month when considering whole months.

Final Answer: Jeffrey Epstein died approximately 1 month after being apprehended."
Around what year would Chandrayaan-2's orbiter's planned mission duration end according to the launch date?,2027,space probe,457,yyyy,date_years,head,"category
space probe

caption
Chandrayaan-2

infobox-image
Chandrayaan-2 lander and orbiter integrated module.jpg | Chandrayaan-2 composite

Mission type
Lunar orbiter, lander, rover

Operator
Indian Space Research Organisation (ISRO)

COSPAR ID
2019-042A | Edit this at Wikidata

SATCAT | number
44441

Website
www | .isro | .gov | .in | /chandrayaan2-home-0

Mission duration
Orbiter: ~ 7.5 years (planned); | 2 years, 10 months (elapsed) | Vikram | lander: ≤ 14 days (planned); | 0 days (landing failure) | Pragyan | rover: ≤ 14 days (planned); | 0 days (landing failure)

Spacecraft properties
Manufacturer	Indian Space Research Organisation (ISRO)
Launch mass	Combined (wet): 3,850 kg (8,490 lb) | Combined (dry): 1,308 kg (2,884 lb) | Orbiter (wet): 2,379 kg (5,245 lb) | Orbiter (dry): 682 kg (1,504 lb) | Vikram | lander (wet): 1,471 kg (3,243 lb) | Vikram | lander (dry): 626 kg (1,380 lb) | Pragyan | rover: 27 kg (60 lb)
Power	Orbiter: 1000 watts | Vikram | lander: 650 watts | Pragyan | rover: 50 watts

Start of mission
Launch date	22 July 2019, 09:13:12 UTC
Rocket	GSLV Mark III M1
Launch site	Satish Dhawan Space Centre Second Launch Pad
Contractor	Indian Space Research Organisation (ISRO)

Moon orbiter
Orbital insertion	20 August 2019, 03:32 UTC

Orbital parameters
Pericynthion altitude	100 km (62 mi)
Apocynthion altitude	100 km (62 mi)

Moon lander
Spacecraft component	Rover
Landing date	6 September 2019, 20:23 UTC
Landing site	Lunar south pole (intended)
['Chandrayaan programme | ← Chandrayaan-1 | Chandrayaan-3 →']

","To determine the year when Chandrayaan-2's orbiter's planned mission duration would end, we need to follow these steps:

1. **Identify the Launch Date**: The launch date of Chandrayaan-2 is given as 22 July 2019.

2. **Determine the Planned Mission Duration for the Orbiter**: The planned mission duration for the orbiter is approximately 7.5 years.

3. **Calculate the End Year**: 
   - Start from the launch year, which is 2019.
   - Add the planned mission duration of 7.5 years to the launch year.

   \[
   2019 + 7.5 = 2026.5
   \]

4. **Interpret the Result**: 
   - The 0.5 year indicates that the mission would end halfway through the year 2026.
   - Therefore, the mission would end around mid-2026.

Final Answer: The planned mission duration for Chandrayaan-2's orbiter would end around mid-2026."
At what age did Adolf von Baeyer marry Adelheid Bendemann?,33,nobel,369,<num_years>,years,head,"category
nobel

Adolf von Baeyer
Born	Johann Friedrich Wilhelm Adolf Baeyer | ( | 1835-10-31 | ) | 31 October 1835 | Berlin, Prussia (German Confederation)
Died	20 August 1917 | (1917-08-20) |  (aged 81) | Starnberg, (Bavaria) German Empire
Nationality	Germany
Alma mater	University of Berlin
Known for	Synthesis of indigo, phenolphthalein and fluorescein; Baeyer nomenclature
Spouse(s)	Adelheid Bendemann (m. 1868)
Children	3; including Otto |  [de] | .
Awards	Davy Medal | (1881) | Liebig Medal | (1903) | Nobel Prize for Chemistry | (1905) | Elliott Cresson Medal | (1912)
['Adolf von Baeyer (1905).jpg | Baeyer in 1905']

Scientific career
Fields	Organic chemistry
Institutions	University of Berlin | Gewerbe-Akademie, Berlin | University of Strasbourg | University of Munich
Doctoral advisor	Friedrich August Kekulé | [ | citation needed | ]
Doctoral students	Emil Fischer | John Ulric Nef | Victor Villiger | Carl Theodore Liebermann | Carl Gräbe
Influenced	Otto Hahn

","To determine the age at which Adolf von Baeyer married Adelheid Bendemann, we need to follow these steps:

1. **Identify the Year of Birth**: According to the table, Adolf von Baeyer was born on October 31, 1835.

2. **Identify the Year of Marriage**: The table states that he married Adelheid Bendemann in 1868.

3. **Calculate the Age at Marriage**:
   - Subtract the year of birth from the year of marriage: 1868 - 1835 = 33.
   - Since he was born on October 31 and the marriage occurred in 1868, we need to check if he had already turned 33 by the time of the marriage in 1868.
   - If the marriage occurred after October 31, 1868, he would have been 33. If it occurred before October 31, he would have been 32.

4. **Conclusion**: Since the exact date of marriage in 1868 is not provided, we assume he was 33, as it is more likely he had already celebrated his birthday that year.

Final Answer: Adolf von Baeyer was 33 years old when he married Adelheid Bendemann."
At what age did Adolf von Baeyer receive the Nobel Prize?,70,nobel,369,<num_years>,years,head,"category
nobel

Adolf von Baeyer
Born	Johann Friedrich Wilhelm Adolf Baeyer | ( | 1835-10-31 | ) | 31 October 1835 | Berlin, Prussia (German Confederation)
Died	20 August 1917 | (1917-08-20) |  (aged 81) | Starnberg, (Bavaria) German Empire
Nationality	Germany
Alma mater	University of Berlin
Known for	Synthesis of indigo, phenolphthalein and fluorescein; Baeyer nomenclature
Spouse(s)	Adelheid Bendemann (m. 1868)
Children	3; including Otto |  [de] | .
Awards	Davy Medal | (1881) | Liebig Medal | (1903) | Nobel Prize for Chemistry | (1905) | Elliott Cresson Medal | (1912)
['Adolf von Baeyer (1905).jpg | Baeyer in 1905']

Scientific career
Fields	Organic chemistry
Institutions	University of Berlin | Gewerbe-Akademie, Berlin | University of Strasbourg | University of Munich
Doctoral advisor	Friedrich August Kekulé | [ | citation needed | ]
Doctoral students	Emil Fischer | John Ulric Nef | Victor Villiger | Carl Theodore Liebermann | Carl Gräbe
Influenced	Otto Hahn

","To determine the age at which Adolf von Baeyer received the Nobel Prize, we need to follow these steps:

1. **Identify the Year of the Nobel Prize Award:**
   - From the table, we see that Adolf von Baeyer received the Nobel Prize for Chemistry in 1905.

2. **Identify Adolf von Baeyer's Birth Year:**
   - The table states that Adolf von Baeyer was born on 31 October 1835.

3. **Calculate the Age in 1905:**
   - Subtract the birth year from the year he received the Nobel Prize:  
     \( 1905 - 1835 = 70 \).

4. **Determine if He Had His Birthday in 1905 Before Receiving the Prize:**
   - Since the Nobel Prize is awarded in December and his birthday is on 31 October, he would have already turned 70 in 1905 before receiving the prize.

Therefore, Adolf von Baeyer was 70 years old when he received the Nobel Prize.

Final Answer: 70 years old."
At what age did Albert A. Michelson die?,78,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To determine the age at which Albert A. Michelson died, we need to follow these steps:

1. **Identify the Birth Date:**
   - From the table, Albert A. Michelson was born on December 19, 1852.

2. **Identify the Death Date:**
   - The table states that he died on May 9, 1931.

3. **Calculate the Age at Death:**
   - First, calculate the full years between 1852 and 1931:
     - 1931 - 1852 = 79 years.
   - Next, check if he had his birthday in 1931 before he died:
     - His birthday is on December 19, and he died on May 9, 1931.
     - Since May 9 is before December 19, he did not reach his 79th birthday in 1931.

4. **Determine the Final Age:**
   - Since he did not reach his 79th birthday, he was 78 years old at the time of his death.

Final Answer: Albert A. Michelson died at the age of 78."
At what age did Albert A. Michelson marry his first wife Margaret Hemingway?,25,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To determine the age at which Albert A. Michelson married his first wife, Margaret Hemingway, we need to follow these steps:

1. **Identify Albert A. Michelson's Birth Date:**
   - From the table, Albert A. Michelson was born on December 19, 1852.

2. **Identify the Year of His First Marriage:**
   - The table states that he married Margaret Hemingway in 1877.

3. **Calculate His Age at the Time of Marriage:**
   - Subtract the birth year from the marriage year: 1877 - 1852 = 25.
   - Since his birthday on December 19 had not yet occurred in 1877 by the time of the marriage, he was still 24 years old at the time of the marriage.

Therefore, Albert A. Michelson was 24 years old when he married his first wife, Margaret Hemingway.

Final Answer: 24 years old."
At what age did Albert A. Michelson marry his second wife Edna Stanton?,47,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To determine the age at which Albert A. Michelson married his second wife, Edna Stanton, we need to follow these steps:

1. **Identify the Year of Birth**: 
   - Albert A. Michelson was born on December 19, 1852.

2. **Identify the Year of Second Marriage**:
   - He married Edna Stanton in 1899.

3. **Calculate the Age at the Time of Second Marriage**:
   - Subtract the year of birth from the year of the second marriage: 1899 - 1852 = 47.
   - Since he was born on December 19 and married in 1899, we need to check if he had already turned 47 by the time of the marriage in 1899.
   - If he married after December 19, 1899, he would be 47. If he married before December 19, 1899, he would still be 46.

4. **Conclusion**:
   - Since the exact date of marriage in 1899 is not provided, we assume he was 47 if the marriage occurred after December 19, 1899, or 46 if it occurred before that date. However, typically, unless specified otherwise"
At what age did Bev Francis retire from her career?,36,body builder,778,<num_years>,years,head,"category
body builder

Bev Francis
['Bodybuilder', 'Bev Francis with Dr. DeFabio.jpg | Francis interviewed in 2011']

Personal info
Born	( | 1955-02-15 | ) | 15 February 1955 | (age 67) | Geelong, Victoria, Australia
Height	5 ft 5 in (1.65 m)
Weight	160 lb (73 kg)

Professional career
Pro-debut	.mw-parser-output ul.cslist,.mw-parser-output ul.sslist{margin:0;padding:0;display:inline-block;list-style:none}.mw-parser-output ul.cslist-embedded{display:inline}.mw-parser-output .cslist li,.mw-parser-output .sslist li{margin:0;padding:0 .25em 0 0;display:inline-block}.mw-parser-output .cslist li:after{content:"", ""}.mw-parser-output .sslist li:after{content:""; ""}.mw-parser-output .cslist li:last-child:after,.mw-parser-output .sslist li:last-child:after{content:none} | Caesars World Cup | 1983
Best win	IFBB World Pro Championships | 1987
Predecessor	Juliette Bergmann
Successor	Dona Oliveira
Active	Retired 1991

","To determine the age at which Bev Francis retired from her career, we need to follow these steps:

1. **Identify the Year of Retirement:**
   - According to the table, Bev Francis retired in 1991.

2. **Identify the Year of Birth:**
   - Bev Francis was born on 15 February 1955.

3. **Calculate the Age at Retirement:**
   - Subtract the year of birth from the year of retirement:  
     \( 1991 - 1955 = 36 \).

4. **Check if She Had Her Birthday in 1991 Before Retiring:**
   - Since she was born on 15 February and the retirement year is 1991, we need to check if she had already turned 36 by the time she retired.
   - If she retired after 15 February 1991, she would have been 36 years old.
   - If she retired before 15 February 1991, she would still be 35.

5. **Conclusion:**
   - The table does not specify the exact date of retirement in 1991, but since it is common to assume retirement at the end of the year unless specified otherwise, we assume she retired after her birthday"
At what age did Brandon Miller earn a spot on the 2nd Team All-Pro?,34,lacrosse,644,<num_years>,years,head,"category
lacrosse

caption
Brandon Miller

infobox-image
Brandon Miller.jpg

Born
( | 1979-05-04 | ) | May 4, 1979 | (age 43) | Orangeville, Ontario, Canada

Nationality
Canadian

Height
6 ft 1 in (1.85 m)

Weight
190 pounds (86 kg)

Shoots
Left

Position
Goaltender

NLL draft
70th overall, 1999 | Albany Attack

NLL team | Former teams
Toronto Rock | Philadelphia Wings | Chicago Shamrox | San Jose Stealth | Albany Attack

Pro career
2001-

Career highlights
['4x Mann Cup Champion (2002, 2008, 2013, 2014) | 2x NLL All-Star (2007, 2011) | 2nd Team All-Pro (2013) | 4x Harry Lumley Trophy (2002, 2007, 2008, 2014) | Mike Kelley Memorial Trophy (2014)']

","To determine the age at which Brandon Miller earned a spot on the 2nd Team All-Pro, we need to follow these steps:

1. **Identify the Year of the Achievement:**
   - According to the table, Brandon Miller was named 2nd Team All-Pro in 2013.

2. **Determine Brandon Miller's Birth Year:**
   - The table states that Brandon Miller was born on May 4, 1979.

3. **Calculate His Age in 2013:**
   - Subtract the birth year from the year of the achievement: 2013 - 1979 = 34.
   - Since his birthday is on May 4, and the achievement was in 2013, we need to check if he had already turned 34 by the time of the award.
   - Assuming the award was given before May 4, 2013, he would still be 33. If it was after May 4, 2013, he would be 34.

4. **Conclusion:**
   - Without a specific date for the award in 2013, we assume it was after his birthday, making him 34 years old.

Final Answer: Brandon Miller was 34 years old when he earned a"
At what age did Gorshkova begin skating?,4,figure skating,743,<num_years>,years,head,"category
figure skating

Kristina Gorshkova
['GORSHKOVA BUTIKOV 08NHK by Carmichael.jpg | Gorshkova and Butikov at the 2008 NHK Trophy']

Personal information
Full name	Kristina Valeryevna Gorshkova
Country represented	Russia
Born	( | 1989-02-18 | ) | 18 February 1989 | (age 33) | Moscow, Russian SFSR, Soviet Union
Height	1.64 m (5 ft 5 in)
Partner	Vitali Butikov
Coach	Elena Tchaikovskaia | Ksenia Rumiantseva
Former coach	Tatiana Kuzmina
Skating club	Vorobievye Gory
Began skating	1993

ISU personal best scores
Combined total	127.47 | 2010 Cup of Russia
Comp. dance	51.97 | 2010 Cup of Russia
Free dance	75.89 | 2010 Skate Canada

Representing | Russia

Figure skating: Ice dancing

Winter Universiade
['Gold medal - first place | 2011 Erzurum | Ice dancing']

World Junior Championships
['Bronze medal - third place | 2008 Sofia | Ice dancing']

Junior Grand Prix Final
['Bronze medal - third place | 2007-08 Gdańsk | Ice dancing']

","To determine the age at which Kristina Gorshkova began skating, we need to follow these steps:

1. **Identify the Year She Began Skating:**
   - According to the table, Kristina Gorshkova began skating in 1993.

2. **Identify Her Birth Year:**
   - The table states that she was born on 18 February 1989.

3. **Calculate Her Age When She Began Skating:**
   - Subtract the year she began skating from her birth year: 
     \[
     1993 - 1989 = 4
     \]

4. **Consider the Month and Day:**
   - Since she was born on 18 February 1989, and she began skating in 1993, we need to check if she had already had her birthday in 1993 by the time she started skating.
   - If she began skating after 18 February 1993, she would have been 4 years old. If she began before 18 February 1993, she would have been 3 years old.
   - The table does not specify the exact date in 1993 when she began skating, but typically, such activities start at the beginning of"
