question,label,question_type,question_wo_instruct,instruction,answer_format,answer_temporal_unit,split,response
"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2005-04-07'},trick,"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 7 days from the date of the most important game. We know that the most important game was on 2005-04-14. Subtracting 7 days from this date will give us the date of the second most important game."", ""answer"": ""2005-04-07""}"
"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2019-03-01'},trick,"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of your cousin, we need to subtract 6 days from your date of birth. Since your date of birth is 2019-03-07, we will perform the following operation:

2019-03-07 - 6 days =?

We will subtract 6 days from March 7, 2019. March has 31 days, so subtracting 6 days will result in:

2019-03-01 - 1 day = 2019-02-28 (February has 28 days, so we cannot subtract 6 days from March 1)
2019-02-28 - 5 days = 2019-02-23
2019-02-23 - 1 day = 2019-02-22
2019-02-22 - 1 day = 2019-02-21
2019-02-21 - 1 day = 2019-02-20
2019-02-20 - 1 day = 2019-02-19

So, the date of birth of your cousin is 2019-02-19."", ""answer"": ""2019-02-19""}"
"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-06-10'},trick,"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, we need to subtract 10 days from the date of birth of the person. We will use the date 2001-06-20 and subtract 10 days from it."", 
        ""answer"": ""2001-06-10""}"
"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2006-06-08'},trick,"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, we need to subtract 5 days from the birth date of the person. We will use the given birth date of 2006-06-13 and subtract 5 days from it."", ""answer"": ""2006-06-08""}"
"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2012-12-17'},trick,"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 2 days from the date of the most important game. The date of the most important game is 2012-12-19. We can subtract 2 days by first subtracting 2 from the day (19 - 2 = 17), and then subtracting 1 from the month (12 - 1 = 11) and subtracting 1 from the year (2012 - 1 = 2011), but since the year is 2012, we can't subtract 1 from it. So, the date of the second most important game will be 2012-11-17."", ""answer"": ""2012-11-17""}"
"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2016-11-07'},trick,"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 7 days from the date of the most important game. The most important game was on 2016-11-14. 

We can use the following steps to calculate the date:
1. Start with the year, month, and day of the most important game: 2016, 11, and 14.
2. Subtract 7 days from the day of the most important game. Since 14 - 7 = 7, the day of the second most important game will be 7.
3. Since we are subtracting 7 days from November, we need to check if November has 7 days. November has 30 days, so subtracting 7 days will still be in November.
4. Now, we need to subtract 7 days from the month of November. Since November is the 11th month, subtracting 7 days will result in the 4th month, which is April.
5. Now, we need to subtract 7 days from the year 2016. Since 2016 is a leap year, it has 366 days. Subtracting 7 days from 366 days will still be in 2016.

Therefore, the date of the second most important game is: 2016-04-07."", ""answer"": ""2016-04-07""}"
"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-08-07'},trick,"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date 3 days ago, we will subtract 3 from the day of the month, and adjust the month and year if necessary. We will use the given date 2001-08-10 as a reference."", 
""answer"": ""2001-08-07""}"
"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2007-11-18'},trick,"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of your cousin, we need to subtract 2 days from your birthdate. 
First, we'll break down your birthdate into year, month, and day: year = 2007, month = 11, day = 20.
Then, we'll subtract 2 days from the day: if the day is greater than 2, we subtract 2 from the day; otherwise, we subtract 2 from the month and add 31 to the day (since the maximum number of days in a month is 31)."", 
""answer"": ""2007-11-18""}"
"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2003-12-04'},trick,"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 10 days from the date of the most important game. The most important game was on 2003-12-14. We will subtract 10 days from this date."", ""answer"": ""2003-12-04""}"
"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2020-07-12'},trick,"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 2 days from the date of the most important game. Given that the most important game was on 2020-07-14, we will subtract 2 days from this date."", ""answer"": ""2020-07-12""}"
