question,label,question_type,question_wo_instruct,instruction,answer_format,answer_temporal_unit,split,response
"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2005-04-07'},trick,"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we subtract 7 days from the date of the most important game. The most important game was on 2005-04-14. Subtracting 7 days from this date gives us 2005-04-07."", ""answer"": ""2005-04-07""}"
"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2019-03-01'},trick,"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, subtract 6 days from the date of birth of the individual. Given that the individual was born on 2019-03-07, subtracting 6 days gives us 2019-02-29. However, 2019 is not a leap year, so it does not have a February 29th. Since the exact date cannot be determined due to the non-existence of the specified day in the given year, the answer is 'unanswerable'."", ""answer"": ""unanswerable""}"
"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-06-10'},trick,"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""Given that you were born on 2001-06-20 and your cousin was born 10 days before you, we subtract 10 days from June 20th. Subtracting 10 days from June 20th leads us to June 10th. Hence, the date of birth of your cousin is 2001-06-10."", ""answer"": ""2001-06-10""}"
"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2006-06-08'},trick,"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of your cousin, we subtract 5 days from your birthdate, June 13, 2006. Counting backwards 5 days from June 13, 2006, brings us to June 8, 2006."", ""answer"": ""2006-06-08""}"
"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2012-12-17'},trick,"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we subtract 2 days from the date of the most important game. The most important game was on December 19, 2012. Subtracting 2 days gives us December 17, 2012."", ""answer"": ""2012-12-17""}"
"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2016-11-07'},trick,"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we subtract 7 days from the date of the most important game, which is 2016-11-14. Subtracting 7 days from November 14, 2016 leads us to November 7, 2016."", ""answer"": ""2016-11-07""}"
"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-08-07'},trick,"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date 3 days ago from August 10, 2001, we subtract 3 days from the given date. 2001-08-10 minus 3 days is 2001-08-07."", ""answer"": ""2001-08-07""}"
"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2007-11-18'},trick,"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""Given that you were born on 2007-11-20 and your cousin was born 2 days before you, we subtract 2 days from your birth date. Since the date is within the same month and there are no issues with the day count, we simply subtract 2 from the day part of the date: 20 - 2 = 18. Thus, your cousin was born on 2007-11-18."", ""answer"": ""2007-11-18""}"
"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2003-12-04'},trick,"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""The most important game was on December 14, 2003. To find the date of the second most important game, we subtract 10 days from this date. 10 days before December 14, 2003 would be December 04, 2003."", ""answer"": ""2003-12-04""}"
"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2020-07-12'},trick,"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""Given that the most important game was on July 14, 2020, and the second most important game was 2 days before, we subtract 2 days from July 14, 2020 to find the date of the second game. July 14 minus 2 days lands us on July 12, 2020."", ""answer"": ""2020-07-12""}"
"I was born on 2010-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2010-06-10'},trick,"I was born on 2010-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""The date of birth for your cousin is 10 days before June 20, 2010. Counting backwards from June 20, 2010, 10 days lands on June 10, 2010."", ""answer"": ""2010-06-10""}"
"I was born on 2000-09-19 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2000-09-09'},trick,"I was born on 2000-09-19 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, we subtract 10 days from the date of birth of the individual, which is September 19, 2000. Subtracting 10 days from September 19 brings us to September 9, 2000."", ""answer"": ""2000-09-09""}"
"A company pays their employees every 15 days. Benjamin received his first paycheck on 25 Dec, 2022. If today is 18 May, 2023, when will he receive his next paycheck? Return your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"" : ""<date>""}. Use the date format in the question to report the result.","{'answer': '24 May, 2023'}",multi_op,"A company pays their employees every 15 days. Benjamin received his first paycheck on 25 Dec, 2022. If today is 18 May, 2023, when will he receive his next paycheck?","Return your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"" : ""<date>""}. Use the date format in the question to report the result.","""<date>""",date,arithmetic," ""Benjamin receives a paycheck every 15 days. His last paycheck was on December 25, 2022. Adding 15 days to December 25 leads us to January 9, 2023. Adding another 15 days to January 9 results in January 24, 2023. Continuing this process, the sequence of paychecks would be: Jan 9, Jan 24, Feb 8, Feb 23, Mar 9, Mar 24, Apr 8, Apr 23, May 8, and finally May 23, 2023. Since today is May 18, 2023, the next paycheck would be on May 23, 2023."", ""answer"": ""2023-05-23""}"
"A museum announced that every 15 days, there will be a day of free entrance. The first free day was on June 29, 2010. If today is November 01, 2010, when is the next free day? Return your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"" : ""<date>""}. Use the date format in the question to report the result.","{'answer': 'November 11, 2010'}",multi_op,"A museum announced that every 15 days, there will be a day of free entrance. The first free day was on June 29, 2010. If today is November 01, 2010, when is the next free day?","Return your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"" : ""<date>""}. Use the date format in the question to report the result.","""<date>""",date,arithmetic," ""First, we determine the number of days between June 29, 2010 and November 1, 2010. June has 30 days so from June 29 to June 30 is 1 day. Adding July (31 days), August (31 days), September (30 days), October (31 days) and subtracting the initial day counted: 1 + 31 + 31 + 30 + 31 = 124 days. Since the free entrance occurs every 15 days, we divide 124 by 15 which gives 8 weeks with a remainder of 4 days. Hence, the next free day after November 1, 2010 would be 11 days (15 days - 4 days) later, making the next free day November 12, 2010."", ""answer"": ""2010-11-12""}"
"Alan and Mary tried a new restaurant on  05-28-2002 and really liked it. They decided to go to the same restaurant every 15 days. If today is 07-24-2002, when is the next time they will go to that restaurant? Return your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"" : ""<date>""}. Use the date format in the question to report the result.",{'answer': '07-27-2002'},multi_op,"Alan and Mary tried a new restaurant on  05-28-2002 and really liked it. They decided to go to the same restaurant every 15 days. If today is 07-24-2002, when is the next time they will go to that restaurant?","Return your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"" : ""<date>""}. Use the date format in the question to report the result.","""<date>""",date,arithmetic," ""First, we determine how many days have passed since Alan and Mary's first visit to the restaurant on 05-28-2002. From 05-28-2002 to 06-30-2002, there are 33 days (including 05-28 but excluding 06-30). Adding the days in July up to 07-24-2002 gives us 24 days. So, the total days passed is 33 + 24 = 57 days. Since Alan and Mary decide to visit every 15 days, we need to add 15 days to the last known visit date of 07-24-2002. 07-24-2002 + 15 days = 08-08-2002. Hence, the next visit will be on 08-08-2002."", ""answer"": ""08-08-2002""}"
