question,label,category,table_id,answer_format,answer_temporal_unit,split,table_context,response
Approximately how many months after being apprehended did Jeffrey Epstein die by suicide?,1,person,340,<num_months>,months,head,"category
person

Jeffrey Epstein
Born	Jeffrey Edward Epstein | ( | 1953-01-20 | ) | January 20, 1953 | New York City, New York, U.S.
Died	August 10, 2019 | (2019-08-10) | (aged 66) | New York City, New York, U.S.
Cause of death	Suicide by hanging
Resting place	I.J. Morris Star of David Cemetery, Palm Beach, Florida
Occupation	Financier | broker | educator | socialite
Title	Owner of Jeffrey Epstein VI Foundation
Criminal charge	Procuring an underage girl for prostitution; sex trafficking
Penalty	13 months with work release (2008)
[""Epstein Final Mugshot.png | Epstein's final mugshot, July 9, 2019""]

Details
Victims	36
Date apprehended	July 6, 2019 (second criminal case)
Website	www | .jeffreyepstein | .org

","To determine how many months after being apprehended Jeffrey Epstein died by suicide, we need to calculate the time difference between his apprehension date and his death date.

1. Jeffrey Epstein was apprehended on July 6, 2019.
2. Jeffrey Epstein died on August 10, 2019.

Now, let's break down the time between these dates:

- From July 6, 2019, to July 31, 2019, is 25 days.
- From August 1, 2019, to August 10, 2019, is 10 days.

Adding these together gives us:
25 days + 10 days = 35 days

Since there are approximately 30 days in a month, 35 days is roughly 1.17 months.

Therefore, Jeffrey Epstein died approximately 1.17 months after being apprehended.

Final Answer: Approximately 1.17 months."
Around what year would Chandrayaan-2's orbiter's planned mission duration end according to the launch date?,2027,space probe,457,yyyy,date_years,head,"category
space probe

caption
Chandrayaan-2

infobox-image
Chandrayaan-2 lander and orbiter integrated module.jpg | Chandrayaan-2 composite

Mission type
Lunar orbiter, lander, rover

Operator
Indian Space Research Organisation (ISRO)

COSPAR ID
2019-042A | Edit this at Wikidata

SATCAT | number
44441

Website
www | .isro | .gov | .in | /chandrayaan2-home-0

Mission duration
Orbiter: ~ 7.5 years (planned); | 2 years, 10 months (elapsed) | Vikram | lander: ≤ 14 days (planned); | 0 days (landing failure) | Pragyan | rover: ≤ 14 days (planned); | 0 days (landing failure)

Spacecraft properties
Manufacturer	Indian Space Research Organisation (ISRO)
Launch mass	Combined (wet): 3,850 kg (8,490 lb) | Combined (dry): 1,308 kg (2,884 lb) | Orbiter (wet): 2,379 kg (5,245 lb) | Orbiter (dry): 682 kg (1,504 lb) | Vikram | lander (wet): 1,471 kg (3,243 lb) | Vikram | lander (dry): 626 kg (1,380 lb) | Pragyan | rover: 27 kg (60 lb)
Power	Orbiter: 1000 watts | Vikram | lander: 650 watts | Pragyan | rover: 50 watts

Start of mission
Launch date	22 July 2019, 09:13:12 UTC
Rocket	GSLV Mark III M1
Launch site	Satish Dhawan Space Centre Second Launch Pad
Contractor	Indian Space Research Organisation (ISRO)

Moon orbiter
Orbital insertion	20 August 2019, 03:32 UTC

Orbital parameters
Pericynthion altitude	100 km (62 mi)
Apocynthion altitude	100 km (62 mi)

Moon lander
Spacecraft component	Rover
Landing date	6 September 2019, 20:23 UTC
Landing site	Lunar south pole (intended)
['Chandrayaan programme | ← Chandrayaan-1 | Chandrayaan-3 →']

","To determine when Chandrayaan-2's orbiter's planned mission would end, we need to add the planned mission duration to the launch date.

The launch date of Chandrayaan-2 was 22 July 2019. The planned mission duration for the orbiter is 7.5 years.

Adding 7.5 years to 2019:
2019 + 7.5 = 2026.5

Since mission durations are typically expressed in whole years, we can conclude that the orbiter's planned mission duration would end around the year 2027.

Final Answer: 2027"
At what age did Adolf von Baeyer marry Adelheid Bendemann?,33,nobel,369,<num_years>,years,head,"category
nobel

Adolf von Baeyer
Born	Johann Friedrich Wilhelm Adolf Baeyer | ( | 1835-10-31 | ) | 31 October 1835 | Berlin, Prussia (German Confederation)
Died	20 August 1917 | (1917-08-20) |  (aged 81) | Starnberg, (Bavaria) German Empire
Nationality	Germany
Alma mater	University of Berlin
Known for	Synthesis of indigo, phenolphthalein and fluorescein; Baeyer nomenclature
Spouse(s)	Adelheid Bendemann (m. 1868)
Children	3; including Otto |  [de] | .
Awards	Davy Medal | (1881) | Liebig Medal | (1903) | Nobel Prize for Chemistry | (1905) | Elliott Cresson Medal | (1912)
['Adolf von Baeyer (1905).jpg | Baeyer in 1905']

Scientific career
Fields	Organic chemistry
Institutions	University of Berlin | Gewerbe-Akademie, Berlin | University of Strasbourg | University of Munich
Doctoral advisor	Friedrich August Kekulé | [ | citation needed | ]
Doctoral students	Emil Fischer | John Ulric Nef | Victor Villiger | Carl Theodore Liebermann | Carl Gräbe
Influenced	Otto Hahn

","To determine the age at which Adolf von Baeyer married Adelheid Bendemann, we need to find his birth year and the year he married her.

From the information given:
- Adolf von Baeyer was born on October 31, 1835.
- He married Adelheid Bendemann in 1868.

Now, calculate the difference between the year of marriage and the year of birth:
1868 - 1835 = 33 years

Therefore, Adolf von Baeyer was 33 years old when he married Adelheid Bendemann.
Final Answer: 33 years old"
At what age did Adolf von Baeyer receive the Nobel Prize?,70,nobel,369,<num_years>,years,head,"category
nobel

Adolf von Baeyer
Born	Johann Friedrich Wilhelm Adolf Baeyer | ( | 1835-10-31 | ) | 31 October 1835 | Berlin, Prussia (German Confederation)
Died	20 August 1917 | (1917-08-20) |  (aged 81) | Starnberg, (Bavaria) German Empire
Nationality	Germany
Alma mater	University of Berlin
Known for	Synthesis of indigo, phenolphthalein and fluorescein; Baeyer nomenclature
Spouse(s)	Adelheid Bendemann (m. 1868)
Children	3; including Otto |  [de] | .
Awards	Davy Medal | (1881) | Liebig Medal | (1903) | Nobel Prize for Chemistry | (1905) | Elliott Cresson Medal | (1912)
['Adolf von Baeyer (1905).jpg | Baeyer in 1905']

Scientific career
Fields	Organic chemistry
Institutions	University of Berlin | Gewerbe-Akademie, Berlin | University of Strasbourg | University of Munich
Doctoral advisor	Friedrich August Kekulé | [ | citation needed | ]
Doctoral students	Emil Fischer | John Ulric Nef | Victor Villiger | Carl Theodore Liebermann | Carl Gräbe
Influenced	Otto Hahn

","To determine the age at which Adolf von Baeyer received the Nobel Prize, we need to find his birth year and the year he received the prize. 

From the table:
- Born: Johann Friedrich Wilhelm Adolf Baeyer | ( | 1835-10-31 | ) | 31 October 1835
- Awards: Nobel Prize for Chemistry | (1905)

Now, calculate the difference between 1905 and 1835:
1905 - 1835 = 70

Therefore, Adolf von Baeyer was 70 years old when he received the Nobel Prize.
Final Answer: 70 years old"
At what age did Albert A. Michelson die?,78,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To determine Albert A. Michelson's age at death, we need to look at his birth and death dates.
- Born: December 19, 1852
- Died: May 9, 1931

Michelson died in 1931, and he was 78 years old at the time of his death, as stated in the table.
Final Answer: 78"
At what age did Albert A. Michelson marry his first wife Margaret Hemingway?,25,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To determine the age at which Albert A. Michelson married Margaret Hemingway, we need to follow these steps:

1. Identify when Albert A. Michelson was born: December 19, 1852.
2. Identify when he married Margaret Hemingway: 1877.
3. Calculate the difference between these two dates.

Let's do the calculation:
- In 1877, Michelson would have been 24 years old because 1877 - 1852 = 25, but since he was born in December and the marriage happened before his birthday in December of that year, he was 24.

Final Answer: Albert A. Michelson was 24 years old when he married his first wife Margaret Hemingway."
At what age did Albert A. Michelson marry his second wife Edna Stanton?,47,nobel,370,<num_years>,years,head,"category
nobel

Albert A. Michelson
Born	( | 1852-12-19 | ) | December 19, 1852 | Strelno, Kingdom of Prussia, German Confederation
Died	May 9, 1931 | (1931-05-09) |  (aged 78) | Pasadena, California, U.S.
Nationality	American
Alma mater	United States Naval Academy | University of Berlin
Known for	Speed of light | Hyperfine structure | Fine structure | Michelson-Morley experiment | Michelson-Gale-Pearson experiment | Michelson interferometer | Michelson stellar interferometer
Spouse(s)	Margaret Hemingway | ( | married |  1877; | divorced |  1898) | ; 3 children | Edna Stanton | ( | married |  1899) | ; 3 children
Awards	Matteucci Medal | (1903) | Nobel Prize in Physics | (1907) | Copley Medal | (1907) | Elliott Cresson Medal | (1912) | Henry Draper Medal | (1916) | Albert Medal | (1920) | Franklin Medal | (1923) | Duddell Medal and Prize | (1929)
['Albert Abraham Michelson2.jpg']

Scientific career
Fields	Physics
Institutions	Case Western Reserve University | Clark University | University of Chicago
Doctoral advisor	Hermann Helmholtz
Other academic advisors	Georg Hermann Quincke | Alfred Cornu
Doctoral students	Robert Millikan | William Smythe

Signature
['Albert A Michelson Signature.svg']

","To determine the age at which Albert A. Michelson married his second wife, Edna Stanton, we need to follow these steps:

1. Identify when Michelson was born: December 19, 1852.
2. Identify when he married Edna Stanton: 1899.
3. Calculate the difference between the year he married Edna Stanton and the year he was born.

1899 - 1852 = 47

Therefore, Albert A. Michelson was 47 years old when he married Edna Stanton.
Final Answer: 47"
At what age did Bev Francis retire from her career?,36,body builder,778,<num_years>,years,head,"category
body builder

Bev Francis
['Bodybuilder', 'Bev Francis with Dr. DeFabio.jpg | Francis interviewed in 2011']

Personal info
Born	( | 1955-02-15 | ) | 15 February 1955 | (age 67) | Geelong, Victoria, Australia
Height	5 ft 5 in (1.65 m)
Weight	160 lb (73 kg)

Professional career
Pro-debut	.mw-parser-output ul.cslist,.mw-parser-output ul.sslist{margin:0;padding:0;display:inline-block;list-style:none}.mw-parser-output ul.cslist-embedded{display:inline}.mw-parser-output .cslist li,.mw-parser-output .sslist li{margin:0;padding:0 .25em 0 0;display:inline-block}.mw-parser-output .cslist li:after{content:"", ""}.mw-parser-output .sslist li:after{content:""; ""}.mw-parser-output .cslist li:last-child:after,.mw-parser-output .sslist li:last-child:after{content:none} | Caesars World Cup | 1983
Best win	IFBB World Pro Championships | 1987
Predecessor	Juliette Bergmann
Successor	Dona Oliveira
Active	Retired 1991

","To determine Bev Francis's age when she retired, we need to follow these steps:

1. Identify the year she retired: According to the table, Bev Francis retired in 1991.
2. Determine her birth year: Her birth year is given as 1955.
3. Calculate the difference between the retirement year and birth year:
   1991 - 1955 = 36

Therefore, Bev Francis was 36 years old when she retired from her career.

Final Answer: 36"
At what age did Brandon Miller earn a spot on the 2nd Team All-Pro?,34,lacrosse,644,<num_years>,years,head,"category
lacrosse

caption
Brandon Miller

infobox-image
Brandon Miller.jpg

Born
( | 1979-05-04 | ) | May 4, 1979 | (age 43) | Orangeville, Ontario, Canada

Nationality
Canadian

Height
6 ft 1 in (1.85 m)

Weight
190 pounds (86 kg)

Shoots
Left

Position
Goaltender

NLL draft
70th overall, 1999 | Albany Attack

NLL team | Former teams
Toronto Rock | Philadelphia Wings | Chicago Shamrox | San Jose Stealth | Albany Attack

Pro career
2001-

Career highlights
['4x Mann Cup Champion (2002, 2008, 2013, 2014) | 2x NLL All-Star (2007, 2011) | 2nd Team All-Pro (2013) | 4x Harry Lumley Trophy (2002, 2007, 2008, 2014) | Mike Kelley Memorial Trophy (2014)']

","To determine the age at which Brandon Miller earned a spot on the 2nd Team All-Pro, we need to follow these steps:

1. Identify the year he earned the 2nd Team All-Pro award.
2. Calculate his age in that year.

From the table, we can see that Brandon Miller was named to the 2nd Team All-Pro in 2013.

Next, we calculate his age in 2013:
- Brandon Miller was born on May 4, 1979.
- In 2013, he would have turned 34 years old.

Therefore, Brandon Miller was 34 years old when he earned a spot on the 2nd Team All-Pro.

Final Answer: 34 years old"
At what age did Gorshkova begin skating?,4,figure skating,743,<num_years>,years,head,"category
figure skating

Kristina Gorshkova
['GORSHKOVA BUTIKOV 08NHK by Carmichael.jpg | Gorshkova and Butikov at the 2008 NHK Trophy']

Personal information
Full name	Kristina Valeryevna Gorshkova
Country represented	Russia
Born	( | 1989-02-18 | ) | 18 February 1989 | (age 33) | Moscow, Russian SFSR, Soviet Union
Height	1.64 m (5 ft 5 in)
Partner	Vitali Butikov
Coach	Elena Tchaikovskaia | Ksenia Rumiantseva
Former coach	Tatiana Kuzmina
Skating club	Vorobievye Gory
Began skating	1993

ISU personal best scores
Combined total	127.47 | 2010 Cup of Russia
Comp. dance	51.97 | 2010 Cup of Russia
Free dance	75.89 | 2010 Skate Canada

Representing | Russia

Figure skating: Ice dancing

Winter Universiade
['Gold medal - first place | 2011 Erzurum | Ice dancing']

World Junior Championships
['Bronze medal - third place | 2008 Sofia | Ice dancing']

Junior Grand Prix Final
['Bronze medal - third place | 2007-08 Gdańsk | Ice dancing']

","Gorshkova began skating in 1993. She was born on 18 February 1989, so we need to determine the age when she started skating. Given that she began at the age of 4 (1989 + 4 = 1993), we can conclude that she started skating at the age of 4.
Final Answer: 4"
